"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
2,NA,"SR:2","NO3 check",0.513,0.505,224.593,222.089,NA,2.504,2.504,0.002,0.001,0.956,0.601,NA,0.355,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
23,"old V1","1:3","3",0.284,0.282,123.342,120.7475,2.744,2.445,2.5945,0.004,0.003,3.143,2.788,0.304,0.406,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
24,"old V2","1:4","4",0.291,0.285,124.784,122.1895,2.744,2.445,2.5945,0.004,0.003,3.204,2.849,0.304,0.406,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
25,"new V1","1:5","5",0.297,0.29,127.048,124.4535,2.744,2.445,2.5945,0.004,0.003,3.216,2.861,0.304,0.406,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
26,"new V2","1:6","6",0.299,0.292,127.876,125.2815,2.744,2.445,2.5945,0.004,0.003,3.303,2.948,0.304,0.406,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
27,"20180611 M1","1:7","7",0.112,0.105,45.344,42.7495,2.744,2.445,2.5945,0.002,0.001,0.861,0.506,0.304,0.406,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
28,"20180611 M2","1:8","8",0.111,0.107,46.027,43.4325,2.744,2.445,2.5945,0.002,0.001,0.889,0.534,0.304,0.406,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
29,"20180611 M3","1:9","9",0.11,0.106,45.549,42.9545,2.744,2.445,2.5945,0.002,0.001,0.879,0.524,0.304,0.406,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
30,"20180611 W1","1:10","10",0.135,0.131,56.777,54.1825,2.744,2.445,2.5945,0.002,0.001,0.811,0.456,0.304,0.406,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
33,"20180611 W1","1:10","10dup",0.134,0.132,57.175,54.5805,2.744,2.445,2.5945,0.002,0.001,0.872,0.517,0.304,0.406,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
34,"20180611 W2","1:11","11",0.135,0.131,56.575,53.9805,2.744,2.445,2.5945,0.002,0.001,0.837,0.482,0.304,0.406,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
35,"20180611 W3","1:12","12",0.137,0.133,57.51,54.9155,2.744,2.445,2.5945,0.002,0.001,0.918,0.563,0.304,0.406,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
36,"20180613 Y1","1:13","13",0.095,0.091,38.876,36.2815,2.744,2.445,2.5945,0.002,0.001,1.138,0.783,0.304,0.406,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
39,"20180613 Y2","1:14","14",0.073,0.071,30.227,27.6325,2.744,2.445,2.5945,0.002,0.001,0.776,0.421,0.304,0.406,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
40,"20180613 Y3","1:15","15",0.082,0.08,34.045,31.4505,2.744,2.445,2.5945,0.002,0.001,0.878,0.523,0.304,0.406,0.355,"sample_run_2018-12-20","12/20/2018","apimenta_095"
43,"20180618 M1","1:18","18",0.114,0.113,48.482,45.7615,2.625,2.816,2.7205,0.002,0.001,1.041,0.4615,0.474,0.685,0.5795,"sample_run_2018-12-20","12/20/2018","apimenta_095"
44,"20180618 M2","1:19","19",0.093,0.089,38.276,35.5555,2.625,2.816,2.7205,0.002,0.001,0.889,0.3095,0.474,0.685,0.5795,"sample_run_2018-12-20","12/20/2018","apimenta_095"
47,"20180618 M3","1:20","20",0.093,0.092,39.305,36.5845,2.625,2.816,2.7205,0.002,0.001,0.674,0.0945,0.474,0.685,0.5795,"sample_run_2018-12-20","12/20/2018","apimenta_095"
48,"20180618 M3","1:20","20dup",0.092,0.089,38.348,35.6275,2.625,2.816,2.7205,0.002,0.001,0.934,0.3545,0.474,0.685,0.5795,"sample_run_2018-12-20","12/20/2018","apimenta_095"
49,"20180618 W1","1:21","21",0.127,0.124,53.452,50.7315,2.625,2.816,2.7205,0.002,0.001,0.596,0.0165,0.474,0.685,0.5795,"sample_run_2018-12-20","12/20/2018","apimenta_095"
50,"20180618 W2","1:22","22",0.131,0.128,55.097,52.3765,2.625,2.816,2.7205,0.002,0.001,0.776,0.1965,0.474,0.685,0.5795,"sample_run_2018-12-20","12/20/2018","apimenta_095"
51,"20180618 W3","1:23","23",0.123,0.119,51.509,48.7885,2.625,2.816,2.7205,0.002,0.001,0.671,0.0915,0.474,0.685,0.5795,"sample_run_2018-12-20","12/20/2018","apimenta_095"
52,"20180620 Y1","1:24","24",0.067,0.064,27.169,24.4485,2.625,2.816,2.7205,0.002,0.001,0.54,-0.0395,0.474,0.685,0.5795,"sample_run_2018-12-20","12/20/2018","apimenta_095"
53,"20180620 Y2","1:25","25",0.063,0.061,25.97,23.2495,2.625,2.816,2.7205,0.003,0.001,1.337,0.7575,0.474,0.685,0.5795,"sample_run_2018-12-20","12/20/2018","apimenta_095"
54,"20180620 Y3","1:26","26",0.065,0.063,26.737,24.0165,2.625,2.816,2.7205,0.003,0.001,1.21,0.6305,0.474,0.685,0.5795,"sample_run_2018-12-20","12/20/2018","apimenta_095"
61,"20180625 M1","1:29","29",0.085,0.085,36.242,NA,NA,NA,NA,0.003,0.001,0.846,NA,NA,NA,NA,"sample_run_2018-12-20","12/20/2018","apimenta_095"
62,"20180625 M2","1:30","30",0.088,0.086,36.869,NA,NA,NA,NA,0.003,0.001,0.91,NA,NA,NA,NA,"sample_run_2018-12-20","12/20/2018","apimenta_095"
63,"20180625 M2","1:30","30dup",0.087,0.085,36.332,NA,NA,NA,NA,0.003,0.001,0.861,NA,NA,NA,NA,"sample_run_2018-12-20","12/20/2018","apimenta_095"
