"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
2,NA,"SR:2","NO3 check",0.368,0.361,160.144,157.365,NA,2.779,2.779,0.003,0.002,2.09,1.753,NA,0.337,0.337,"sample_run_2019-03-13","3/13/2019","apimenta_105"
23,"extra PO4 std. 6uM","1:3","3",0.021,0.02,8.79,5.8085,2.908,3.055,2.9815,0.007,0.006,6.212,5.7875,0.396,0.453,0.4245,"sample_run_2019-03-13","3/13/2019","apimenta_105"
24,"extra PO4 std. 6uM","1:4","4",0.016,0.015,6.508,3.5265,2.908,3.055,2.9815,0.007,0.006,6.255,5.8305,0.396,0.453,0.4245,"sample_run_2019-03-13","3/13/2019","apimenta_105"
32,"Steve Shivers 2 check","1:6","6",0.278,0.277,123.005,119.4185,3.055,4.118,3.5865,0.004,0.003,3.282,2.7915,0.453,0.528,0.4905,"sample_run_2019-03-13","3/13/2019","apimenta_105"
33,"Steve Shivers 2 check","1:7","7",0.294,0.293,129.913,126.3265,3.055,4.118,3.5865,0.005,0.004,3.766,3.2755,0.453,0.528,0.4905,"sample_run_2019-03-13","3/13/2019","apimenta_105"
34,"Steve Shivers 2 check","1:8","8",0.294,0.293,130.107,126.5205,3.055,4.118,3.5865,0.005,0.003,3.597,3.1065,0.453,0.528,0.4905,"sample_run_2019-03-13","3/13/2019","apimenta_105"
35,"20170607 Y1","1:9","9",0.096,0.095,42.152,38.5655,3.055,4.118,3.5865,0.002,0.001,0.847,0.3565,0.453,0.528,0.4905,"sample_run_2019-03-13","3/13/2019","apimenta_105"
36,"20170607 Y2","1:10","10",0.079,0.078,34.721,31.1345,3.055,4.118,3.5865,0.002,0.001,0.751,0.2605,0.453,0.528,0.4905,"sample_run_2019-03-13","3/13/2019","apimenta_105"
37,"20170607 Y2","1:10","10dup",0.078,0.077,34.285,30.6985,3.055,4.118,3.5865,0.002,0.001,0.77,0.2795,0.453,0.528,0.4905,"sample_run_2019-03-13","3/13/2019","apimenta_105"
38,"20170607 Y3","1:11","11",0.083,0.082,36.476,32.8895,3.055,4.118,3.5865,0.002,0.001,1.126,0.6355,0.453,0.528,0.4905,"sample_run_2019-03-13","3/13/2019","apimenta_105"
