"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
39,"20170607 W1","1:12","12",0.091,0.09,39.898,36.3115,3.055,4.118,3.5865,0.002,0.001,1.29,0.7995,0.453,0.528,0.4905,"sample_run_2019-03-13","3/13/2019","apimenta_105"
43,"20170607 W2","1:14","14",0.091,0.091,40.128,35.957,4.118,4.224,4.171,0.002,0.001,1.329,0.72,0.528,0.69,0.609,"sample_run_2019-03-13","3/13/2019","apimenta_105"
44,"20170607 W3","1:15","15",0.097,0.096,42.48,38.309,4.118,4.224,4.171,0.003,0.001,1.578,0.969,0.528,0.69,0.609,"sample_run_2019-03-13","3/13/2019","apimenta_105"
45,"20170612 W1","1:16","16",0.084,0.083,36.888,32.717,4.118,4.224,4.171,0.002,0.001,1.361,0.752,0.528,0.69,0.609,"sample_run_2019-03-13","3/13/2019","apimenta_105"
46,"20170612 W2","1:17","17",0.082,0.081,36.101,31.93,4.118,4.224,4.171,0.002,0.001,1.422,0.813,0.528,0.69,0.609,"sample_run_2019-03-13","3/13/2019","apimenta_105"
47,"20170612 W3","1:18","18",0.079,0.078,34.482,30.311,4.118,4.224,4.171,0.002,0.001,1.203,0.594,0.528,0.69,0.609,"sample_run_2019-03-13","3/13/2019","apimenta_105"
50,"20170615 Y1","1:19","19",0.083,0.082,36.461,32.29,4.118,4.224,4.171,0.002,0.001,1.143,0.534,0.528,0.69,0.609,"sample_run_2019-03-13","3/13/2019","apimenta_105"
51,"20170615 Y2","1:20","20",0.125,0.124,55.017,50.846,4.118,4.224,4.171,0.004,0.002,2.631,2.022,0.528,0.69,0.609,"sample_run_2019-03-13","3/13/2019","apimenta_105"
52,"20170615 Y2","1:20","20dup",0.127,0.126,55.894,51.723,4.118,4.224,4.171,0.004,0.002,2.608,1.999,0.528,0.69,0.609,"sample_run_2019-03-13","3/13/2019","apimenta_105"
53,"20170615 Y3","1:21","21",0.08,0.079,35.077,30.906,4.118,4.224,4.171,0.002,0.001,1.047,0.438,0.528,0.69,0.609,"sample_run_2019-03-13","3/13/2019","apimenta_105"
54,"20170615 W1","1:22","22",0.068,0.067,29.837,25.666,4.118,4.224,4.171,0.002,0.001,0.97,0.361,0.528,0.69,0.609,"sample_run_2019-03-13","3/13/2019","apimenta_105"
57,"20170615 W2","1:23","23",0.071,0.07,30.852,26.681,4.118,4.224,4.171,0.002,0.001,1.157,0.548,0.528,0.69,0.609,"sample_run_2019-03-13","3/13/2019","apimenta_105"
58,"20170615 W3","1:24","24",0.069,0.069,30.351,26.18,4.118,4.224,4.171,0.002,0.001,0.976,0.367,0.528,0.69,0.609,"sample_run_2019-03-13","3/13/2019","apimenta_105"
60,"20170623 Y1","1:26","26",0.084,0.083,36.617,32.673,4.224,3.664,3.944,0.002,0.001,1.092,0.4325,0.69,0.629,0.6595,"sample_run_2019-03-13","3/13/2019","apimenta_105"
61,"20170623 Y2","1:27","27",0.076,0.075,33.304,29.36,4.224,3.664,3.944,0.002,0.001,0.98,0.3205,0.69,0.629,0.6595,"sample_run_2019-03-13","3/13/2019","apimenta_105"
62,"20170623 Y3","1:28","28",0.077,0.076,33.586,29.642,4.224,3.664,3.944,0.002,0.001,0.999,0.3395,0.69,0.629,0.6595,"sample_run_2019-03-13","3/13/2019","apimenta_105"
63,"20170623 W1","1:29","29",0.067,0.066,29.336,25.392,4.224,3.664,3.944,0.002,0.001,1.153,0.4935,0.69,0.629,0.6595,"sample_run_2019-03-13","3/13/2019","apimenta_105"
64,"20170623 W2","1:30","30",0.067,0.066,29.392,25.448,4.224,3.664,3.944,0.002,0.001,1.129,0.4695,0.69,0.629,0.6595,"sample_run_2019-03-13","3/13/2019","apimenta_105"
65,"20170623 W2","1:30","30dup",0.067,0.066,29.4,25.456,4.224,3.664,3.944,0.003,0.001,1.241,0.5815,0.69,0.629,0.6595,"sample_run_2019-03-13","3/13/2019","apimenta_105"
66,"20170623 W3","1:31","31",0.065,0.064,28.497,24.553,4.224,3.664,3.944,0.002,0.001,1.032,0.3725,0.69,0.629,0.6595,"sample_run_2019-03-13","3/13/2019","apimenta_105"
71,"20170626 Y1","1:32","32",0.077,0.076,33.707,29.763,4.224,3.664,3.944,0.002,0.001,1.054,0.3945,0.69,0.629,0.6595,"sample_run_2019-03-13","3/13/2019","apimenta_105"
72,"20170626 Y2","1:33","33",0.076,0.076,33.493,29.549,4.224,3.664,3.944,0.002,0.001,0.818,0.1585,0.69,0.629,0.6595,"sample_run_2019-03-13","3/13/2019","apimenta_105"
73,"20170626 Y3","1:34","34",0.084,0.084,37.085,33.141,4.224,3.664,3.944,0.002,0.001,1.04,0.3805,0.69,0.629,0.6595,"sample_run_2019-03-13","3/13/2019","apimenta_105"
74,"20170626 W1","1:35","35",0.07,0.069,30.692,26.748,4.224,3.664,3.944,0.003,0.001,1.164,0.5045,0.69,0.629,0.6595,"sample_run_2019-03-13","3/13/2019","apimenta_105"
75,"20170626 W2","1:36","36",0.069,0.068,30.266,26.322,4.224,3.664,3.944,0.003,0.001,1.171,0.5115,0.69,0.629,0.6595,"sample_run_2019-03-13","3/13/2019","apimenta_105"
77,"20170626 W3","1:38","38",0.065,0.064,28.327,24.689,3.664,3.612,3.638,0.002,0.001,1.133,0.5635,0.629,0.51,0.5695,"sample_run_2019-03-13","3/13/2019","apimenta_105"
78,"20170705 Y1","1:39","39",0.075,0.074,32.764,29.126,3.664,3.612,3.638,0.002,0.001,0.965,0.3955,0.629,0.51,0.5695,"sample_run_2019-03-13","3/13/2019","apimenta_105"
79,"20170705 Y2","1:40","40",0.077,0.076,33.71,30.072,3.664,3.612,3.638,0.002,0.001,0.932,0.3625,0.629,0.51,0.5695,"sample_run_2019-03-13","3/13/2019","apimenta_105"
80,"20170705 Y2","1:40","40dup",0.077,0.076,33.728,30.09,3.664,3.612,3.638,0.002,0.001,0.981,0.4115,0.629,0.51,0.5695,"sample_run_2019-03-13","3/13/2019","apimenta_105"
83,"20170705 Y3","1:41","41",0.075,0.074,32.785,29.147,3.664,3.612,3.638,0.002,0.001,0.88,0.3105,0.629,0.51,0.5695,"sample_run_2019-03-13","3/13/2019","apimenta_105"
84,"20170705 W1","1:42","42",0.058,0.058,25.614,21.976,3.664,3.612,3.638,0.002,0.001,0.959,0.3895,0.629,0.51,0.5695,"sample_run_2019-03-13","3/13/2019","apimenta_105"
85,"20170705 W2","1:43","43",0.062,0.062,27.374,23.736,3.664,3.612,3.638,0.003,0.001,1.23,0.6605,0.629,0.51,0.5695,"sample_run_2019-03-13","3/13/2019","apimenta_105"
86,"20170705 W3","1:44","44",0.06,0.06,26.366,22.728,3.664,3.612,3.638,0.002,0.001,1.103,0.5335,0.629,0.51,0.5695,"sample_run_2019-03-13","3/13/2019","apimenta_105"
87,"20170710 Y1","1:45","45",0.076,0.075,33.283,29.645,3.664,3.612,3.638,0.002,0.001,0.953,0.3835,0.629,0.51,0.5695,"sample_run_2019-03-13","3/13/2019","apimenta_105"
90,"20170710 Y2","1:46","46",0.074,0.074,32.718,29.08,3.664,3.612,3.638,0.002,0.001,0.964,0.3945,0.629,0.51,0.5695,"sample_run_2019-03-13","3/13/2019","apimenta_105"
91,"20170710 Y3","1:47","47",0.085,0.084,37.218,33.58,3.664,3.612,3.638,0.002,0.001,0.923,0.3535,0.629,0.51,0.5695,"sample_run_2019-03-13","3/13/2019","apimenta_105"
92,"20170710 W1","1:48","48",0.058,0.058,25.55,21.912,3.664,3.612,3.638,0.002,0.001,0.939,0.3695,0.629,0.51,0.5695,"sample_run_2019-03-13","3/13/2019","apimenta_105"
94,"20170710 W2","1:50","50",0.059,0.058,25.797,21.026,3.612,5.93,4.771,0.002,0.001,0.92,0.374,0.51,0.582,0.546,"sample_run_2019-03-13","3/13/2019","apimenta_105"
97,"20170710 W2","1:50","50dup",0.058,0.057,25.374,20.603,3.612,5.93,4.771,0.003,0.001,1.031,0.485,0.51,0.582,0.546,"sample_run_2019-03-13","3/13/2019","apimenta_105"
98,"20170710 W3","1:51","51",0.065,0.064,28.383,23.612,3.612,5.93,4.771,0.003,0.001,1.419,0.873,0.51,0.582,0.546,"sample_run_2019-03-13","3/13/2019","apimenta_105"
99,"20170712 Y1","1:52","52",0.092,0.092,40.577,35.806,3.612,5.93,4.771,0.003,0.001,1.162,0.616,0.51,0.582,0.546,"sample_run_2019-03-13","3/13/2019","apimenta_105"
100,"20170712 Y2","1:53","53",0.091,0.09,39.91,35.139,3.612,5.93,4.771,0.003,0.001,1.51,0.964,0.51,0.582,0.546,"sample_run_2019-03-13","3/13/2019","apimenta_105"
101,"20170712 Y3","1:54","54",0.081,0.081,35.789,31.018,3.612,5.93,4.771,0.003,0.001,1.078,0.532,0.51,0.582,0.546,"sample_run_2019-03-13","3/13/2019","apimenta_105"
102,"20170712 W1","1:55","55",0.063,0.063,27.7,22.929,3.612,5.93,4.771,0.003,0.001,1.124,0.578,0.51,0.582,0.546,"sample_run_2019-03-13","3/13/2019","apimenta_105"
103,"20170712 W2","1:56","56",0.063,0.063,27.833,23.062,3.612,5.93,4.771,0.003,0.001,1.131,0.585,0.51,0.582,0.546,"sample_run_2019-03-13","3/13/2019","apimenta_105"
104,"20170712 W3","1:57","57",0.059,0.059,25.965,21.194,3.612,5.93,4.771,0.002,0.001,0.917,0.371,0.51,0.582,0.546,"sample_run_2019-03-13","3/13/2019","apimenta_105"
105,"20170717 Y1","1:58","58",0.076,0.075,33.36,28.589,3.612,5.93,4.771,0.002,0.001,0.907,0.361,0.51,0.582,0.546,"sample_run_2019-03-13","3/13/2019","apimenta_105"
106,"20170717 Y2","1:59","59",0.084,0.083,36.97,32.199,3.612,5.93,4.771,0.003,0.001,1.208,0.662,0.51,0.582,0.546,"sample_run_2019-03-13","3/13/2019","apimenta_105"
111,"20170717 Y3","1:60","60",0.08,0.08,35.353,30.582,3.612,5.93,4.771,0.003,0.001,1.173,0.627,0.51,0.582,0.546,"sample_run_2019-03-13","3/13/2019","apimenta_105"
112,"20170717 Y3","1:60","60dup",0.082,0.082,36.215,31.444,3.612,5.93,4.771,0.003,0.001,1.126,0.58,0.51,0.582,0.546,"sample_run_2019-03-13","3/13/2019","apimenta_105"
