"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
2,NA,"SR:2","NO3 check",0.374,0.365,159.691,NA,NA,NA,NA,0.001,0,0.437,-0.158,NA,0.595,0.595,"sample_run_2019-03-14","3/14/2019","apimenta_106"
22,"Steven Shivers 2 check","1:2","2",0.102,0.098,42.945,38.028,NA,4.917,4.917,0.002,0.001,1.101,0.3705,0.595,0.866,0.7305,"sample_run_2019-03-14","3/14/2019","apimenta_106"
23,"Steven Shivers 2 check","1:3","3",0.092,0.088,38.581,33.664,NA,4.917,4.917,0.003,0.001,1.338,0.6075,0.595,0.866,0.7305,"sample_run_2019-03-14","3/14/2019","apimenta_106"
24,"Steven Shivers 2 check","1:4","4",0.086,0.082,36.092,31.175,NA,4.917,4.917,0.002,0.001,1.107,0.3765,0.595,0.866,0.7305,"sample_run_2019-03-14","3/14/2019","apimenta_106"
25,"20170717 W1","1:5","5",0.068,0.065,28.313,23.396,NA,4.917,4.917,0.002,0.001,1.08,0.3495,0.595,0.866,0.7305,"sample_run_2019-03-14","3/14/2019","apimenta_106"
26,"20170717 W2","1:6","6",0.065,0.061,26.865,21.948,NA,4.917,4.917,0.002,0.001,1.044,0.3135,0.595,0.866,0.7305,"sample_run_2019-03-14","3/14/2019","apimenta_106"
27,"20170717 W3","1:7","7",0.069,0.065,28.497,23.58,NA,4.917,4.917,0.002,0.001,1.208,0.4775,0.595,0.866,0.7305,"sample_run_2019-03-14","3/14/2019","apimenta_106"
28,"20170719 Y1","1:8","8",0.104,0.1,43.826,38.909,NA,4.917,4.917,0.003,0.001,1.641,0.9105,0.595,0.866,0.7305,"sample_run_2019-03-14","3/14/2019","apimenta_106"
29,"20170719 Y2","1:9","9",0.083,0.079,34.746,29.829,NA,4.917,4.917,0.002,0.001,0.956,0.2255,0.595,0.866,0.7305,"sample_run_2019-03-14","3/14/2019","apimenta_106"
30,"20170719 Y3","1:10","10",0.082,0.078,34.369,29.452,NA,4.917,4.917,0.002,0.001,0.934,0.2035,0.595,0.866,0.7305,"sample_run_2019-03-14","3/14/2019","apimenta_106"
33,"20170719 Y3","1:10","10dup",0.08,0.076,33.454,28.537,NA,4.917,4.917,0.002,0.001,0.962,0.2315,0.595,0.866,0.7305,"sample_run_2019-03-14","3/14/2019","apimenta_106"
34,"20170719 W1","1:11","11",0.071,0.067,29.285,24.368,NA,4.917,4.917,0.002,0.001,1.146,0.4155,0.595,0.866,0.7305,"sample_run_2019-03-14","3/14/2019","apimenta_106"
35,"20170719 W2","1:12","12",0.068,0.065,28.305,23.388,NA,4.917,4.917,0.002,0.001,1.183,0.4525,0.595,0.866,0.7305,"sample_run_2019-03-14","3/14/2019","apimenta_106"
37,"20170719 W3","1:14","14",0.067,0.063,27.692,22.8645,4.917,4.738,4.8275,0.002,0.001,1.137,0.2955,0.866,0.817,0.8415,"sample_run_2019-03-14","3/14/2019","apimenta_106"
40,"20170726 Y1","1:15","15",0.084,0.08,34.888,30.0605,4.917,4.738,4.8275,0.002,0.001,1.046,0.2045,0.866,0.817,0.8415,"sample_run_2019-03-14","3/14/2019","apimenta_106"
41,"20170726 Y2","1:16","16",0.093,0.089,38.989,34.1615,4.917,4.738,4.8275,0.003,0.001,1.303,0.4615,0.866,0.817,0.8415,"sample_run_2019-03-14","3/14/2019","apimenta_106"
42,"20170726 Y3","1:17","17",0.124,0.12,52.669,47.8415,4.917,4.738,4.8275,0.004,0.002,2.248,1.4065,0.866,0.817,0.8415,"sample_run_2019-03-14","3/14/2019","apimenta_106"
43,"20170726 W1","1:18","18",0.098,0.094,40.963,36.1355,4.917,4.738,4.8275,0.003,0.002,2.213,1.3715,0.866,0.817,0.8415,"sample_run_2019-03-14","3/14/2019","apimenta_106"
44,"20170726 W2","1:19","19",0.074,0.07,30.706,25.8785,4.917,4.738,4.8275,0.003,0.001,1.489,0.6475,0.866,0.817,0.8415,"sample_run_2019-03-14","3/14/2019","apimenta_106"
47,"20170726 W3","1:20","20",0.072,0.067,29.555,24.7275,4.917,4.738,4.8275,0.003,0.001,1.309,0.4675,0.866,0.817,0.8415,"sample_run_2019-03-14","3/14/2019","apimenta_106"
48,"20170726 W3","1:20","20dup",0.073,0.069,30.258,25.4305,4.917,4.738,4.8275,0.003,0.001,1.306,0.4645,0.866,0.817,0.8415,"sample_run_2019-03-14","3/14/2019","apimenta_106"
