"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
49,"20170731 Y1","1:21","21",0.092,0.088,38.443,33.6155,4.917,4.738,4.8275,0.003,0.001,1.696,0.8545,0.866,0.817,0.8415,"sample_run_2019-03-14","3/14/2019","apimenta_106"
50,"20170731 Y2","1:22","22",0.086,0.082,35.959,31.1315,4.917,4.738,4.8275,0.002,0.001,1.117,0.2755,0.866,0.817,0.8415,"sample_run_2019-03-14","3/14/2019","apimenta_106"
51,"20170731 Y3","1:23","23",0.087,0.083,36.438,31.6105,4.917,4.738,4.8275,0.003,0.001,1.208,0.3665,0.866,0.817,0.8415,"sample_run_2019-03-14","3/14/2019","apimenta_106"
52,"20170731 W1","1:24","24",0.065,0.061,26.757,21.9295,4.917,4.738,4.8275,0.003,0.001,1.245,0.4035,0.866,0.817,0.8415,"sample_run_2019-03-14","3/14/2019","apimenta_106"
54,"20170731 W2","1:26","26",0.069,0.065,28.256,23.548,4.738,4.678,4.708,0.003,0.001,1.48,0.6065,0.817,0.93,0.8735,"sample_run_2019-03-14","3/14/2019","apimenta_106"
55,"20170731 W3","1:27","27",0.071,0.066,29.059,24.351,4.738,4.678,4.708,0.003,0.001,1.38,0.5065,0.817,0.93,0.8735,"sample_run_2019-03-14","3/14/2019","apimenta_106"
56,"20170802 Y1","1:28","28",0.082,0.078,34.186,29.478,4.738,4.678,4.708,0.003,0.001,1.179,0.3055,0.817,0.93,0.8735,"sample_run_2019-03-14","3/14/2019","apimenta_106"
61,"20170802 Y2","1:29","29",0.081,0.077,33.637,28.929,4.738,4.678,4.708,0.002,0.001,0.99,0.1165,0.817,0.93,0.8735,"sample_run_2019-03-14","3/14/2019","apimenta_106"
62,"20170802 Y3","1:30","30",0.085,0.081,35.467,30.759,4.738,4.678,4.708,0.003,0.001,1.238,0.3645,0.817,0.93,0.8735,"sample_run_2019-03-14","3/14/2019","apimenta_106"
63,"20170802 Y3","1:30","30dup",0.085,0.081,35.497,30.789,4.738,4.678,4.708,0.003,0.001,1.242,0.3685,0.817,0.93,0.8735,"sample_run_2019-03-14","3/14/2019","apimenta_106"
64,"20170802 W1","1:31","31",0.064,0.06,26.129,21.421,4.738,4.678,4.708,0.003,0.001,1.284,0.4105,0.817,0.93,0.8735,"sample_run_2019-03-14","3/14/2019","apimenta_106"
65,"20170802 W2","1:32","32",0.067,0.063,27.477,22.769,4.738,4.678,4.708,0.003,0.001,1.4,0.5265,0.817,0.93,0.8735,"sample_run_2019-03-14","3/14/2019","apimenta_106"
66,"20170802 W3","1:33","33",0.055,0.051,22.342,17.634,4.738,4.678,4.708,0.002,0.001,1.194,0.3205,0.817,0.93,0.8735,"sample_run_2019-03-14","3/14/2019","apimenta_106"
67,"20170807 Y1","1:34","34",0.087,0.083,36.219,31.511,4.738,4.678,4.708,0.003,0.001,1.281,0.4075,0.817,0.93,0.8735,"sample_run_2019-03-14","3/14/2019","apimenta_106"
68,"20170807 Y2","1:35","35",0.083,0.078,34.235,29.527,4.738,4.678,4.708,0.003,0.001,1.271,0.3975,0.817,0.93,0.8735,"sample_run_2019-03-14","3/14/2019","apimenta_106"
69,"20170807 Y3","1:36","36",0.081,0.077,33.713,29.005,4.738,4.678,4.708,0.003,0.001,1.244,0.3705,0.817,0.93,0.8735,"sample_run_2019-03-14","3/14/2019","apimenta_106"
73,"20170807 W1","1:38","38",0.072,0.068,29.604,25.08,4.678,4.37,4.524,0.003,0.001,1.405,0.627,0.93,0.626,0.778,"sample_run_2019-03-14","3/14/2019","apimenta_106"
74,"20170807 W2","1:39","39",0.074,0.07,30.622,26.098,4.678,4.37,4.524,0.003,0.001,1.423,0.645,0.93,0.626,0.778,"sample_run_2019-03-14","3/14/2019","apimenta_106"
75,"20170807 W3","1:40","40",0.074,0.07,30.513,25.989,4.678,4.37,4.524,0.003,0.001,1.359,0.581,0.93,0.626,0.778,"sample_run_2019-03-14","3/14/2019","apimenta_106"
76,"20170807 W3","1:40","40dup",0.074,0.069,30.406,25.882,4.678,4.37,4.524,0.003,0.001,1.322,0.544,0.93,0.626,0.778,"sample_run_2019-03-14","3/14/2019","apimenta_106"
77,"20170809 Y1","1:41","41",0.093,0.089,38.955,34.431,4.678,4.37,4.524,0.003,0.001,1.17,0.392,0.93,0.626,0.778,"sample_run_2019-03-14","3/14/2019","apimenta_106"
80,"20170809 Y2","1:42","42",0.084,0.079,34.731,30.207,4.678,4.37,4.524,0.003,0.001,1.289,0.511,0.93,0.626,0.778,"sample_run_2019-03-14","3/14/2019","apimenta_106"
81,"20170809 Y3","1:43","43",0.084,0.079,34.682,30.158,4.678,4.37,4.524,0.003,0.001,1.29,0.512,0.93,0.626,0.778,"sample_run_2019-03-14","3/14/2019","apimenta_106"
82,"20170809 W1","1:44","44",0.078,0.074,32.217,27.693,4.678,4.37,4.524,0.003,0.001,1.453,0.675,0.93,0.626,0.778,"sample_run_2019-03-14","3/14/2019","apimenta_106"
83,"20170809 W2","1:45","45",0.079,0.074,32.615,28.091,4.678,4.37,4.524,0.003,0.001,1.409,0.631,0.93,0.626,0.778,"sample_run_2019-03-14","3/14/2019","apimenta_106"
84,"20170809 W3","1:46","46",0.082,0.078,33.942,29.418,4.678,4.37,4.524,0.003,0.001,1.425,0.647,0.93,0.626,0.778,"sample_run_2019-03-14","3/14/2019","apimenta_106"
87,"20170814 Y1","1:47","47",0.08,0.076,33.157,28.633,4.678,4.37,4.524,0.003,0.001,0.982,0.204,0.93,0.626,0.778,"sample_run_2019-03-14","3/14/2019","apimenta_106"
90,"20170814 Y2","1:48","48",0.115,0.111,48.493,43.969,4.678,4.37,4.524,0.003,0.001,0.919,0.141,0.93,0.626,0.778,"sample_run_2019-03-14","3/14/2019","apimenta_106"
92,"20170814 Y3","1:50","50",0.085,0.08,35.034,30.622,4.37,4.454,4.412,0.003,0.001,1.033,0.3875,0.626,0.665,0.6455,"sample_run_2019-03-14","3/14/2019","apimenta_106"
93,"20170814 Y3","1:50","50dup",0.086,0.082,35.783,31.371,4.37,4.454,4.412,0.003,0.001,1.027,0.3815,0.626,0.665,0.6455,"sample_run_2019-03-14","3/14/2019","apimenta_106"
94,"20170814 W1","1:51","51",0.101,0.097,42.352,37.94,4.37,4.454,4.412,0.003,0.001,1.133,0.4875,0.626,0.665,0.6455,"sample_run_2019-03-14","3/14/2019","apimenta_106"
95,"20170814 W2","1:52","52",0.104,0.099,43.435,39.023,4.37,4.454,4.412,0.003,0.001,1.431,0.7855,0.626,0.665,0.6455,"sample_run_2019-03-14","3/14/2019","apimenta_106"
96,"20170814 W3","1:53","53",0.102,0.097,42.672,38.26,4.37,4.454,4.412,0.003,0.001,1.598,0.9525,0.626,0.665,0.6455,"sample_run_2019-03-14","3/14/2019","apimenta_106"
101,"20170816 Y1","1:54","54",0.08,0.076,33.164,28.752,4.37,4.454,4.412,0.003,0.001,1.021,0.3755,0.626,0.665,0.6455,"sample_run_2019-03-14","3/14/2019","apimenta_106"
102,"20170816 Y2","1:55","55",0.082,0.078,34.038,29.626,4.37,4.454,4.412,0.003,0.001,1.002,0.3565,0.626,0.665,0.6455,"sample_run_2019-03-14","3/14/2019","apimenta_106"
103,"20170816 Y3","1:56","56",0.086,0.081,35.38,30.968,4.37,4.454,4.412,0.003,0.001,1.042,0.3965,0.626,0.665,0.6455,"sample_run_2019-03-14","3/14/2019","apimenta_106"
104,"20170809 Y2","1:57","42 re-run",0.087,0.082,36.073,31.661,4.37,4.454,4.412,0.003,0.001,1.049,0.4035,0.626,0.665,0.6455,"sample_run_2019-03-14","3/14/2019","apimenta_106"
105,"20170809 Y3","1:58","43 re-run",0.085,0.081,35.317,30.905,4.37,4.454,4.412,0.003,0.001,1.054,0.4085,0.626,0.665,0.6455,"sample_run_2019-03-14","3/14/2019","apimenta_106"
106,"20170809 W1","1:59","44 re-run",0.081,0.076,33.328,28.916,4.37,4.454,4.412,0.003,0.001,1.197,0.5515,0.626,0.665,0.6455,"sample_run_2019-03-14","3/14/2019","apimenta_106"
107,"20170809 W2","1:60","45 re-run",0.08,0.076,33.149,28.737,4.37,4.454,4.412,0.003,0.001,1.25,0.6045,0.626,0.665,0.6455,"sample_run_2019-03-14","3/14/2019","apimenta_106"
108,"20170809 W3","2:1","46 re-run",0.084,0.079,34.552,30.14,4.37,4.454,4.412,0.003,0.001,1.237,0.5915,0.626,0.665,0.6455,"sample_run_2019-03-14","3/14/2019","apimenta_106"
109,"20170814 Y1","2:2","47 re-run",0.083,0.078,34.355,29.943,4.37,4.454,4.412,0.003,0.001,1.064,0.4185,0.626,0.665,0.6455,"sample_run_2019-03-14","3/14/2019","apimenta_106"
