"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
2,NA,"SR:2","NO3 check",0.388,0.381,165.668,NA,NA,NA,NA,0.005,0.004,4.237,3.734,NA,0.503,0.503,"sample_run_2019-03-01","3/1/2019","apimenta_102"
22,"Steve Shivers 2 check","1:2","2",0.083,0.081,34.226,30.968,NA,3.258,3.258,0.002,0.001,1.105,0.5485,0.503,0.61,0.5565,"sample_run_2019-03-01","3/1/2019","apimenta_102"
23,"Steve Shivers 2 check","1:3","3",0.085,0.083,35.169,31.911,NA,3.258,3.258,0.002,0.001,1.206,0.6495,0.503,0.61,0.5565,"sample_run_2019-03-01","3/1/2019","apimenta_102"
24,"Steve Shivers 2 check","1:4","4",0.084,0.082,34.655,31.397,NA,3.258,3.258,0.002,0.001,1.193,0.6365,0.503,0.61,0.5565,"sample_run_2019-03-01","3/1/2019","apimenta_102"
25,"20180906 M1","1:5","5",0.148,0.146,62.666,59.408,NA,3.258,3.258,0.002,0.001,1.243,0.6865,0.503,0.61,0.5565,"sample_run_2019-03-01","3/1/2019","apimenta_102"
26,"20180906 M2","1:6","6",0.151,0.149,64.034,60.776,NA,3.258,3.258,0.002,0.001,1.35,0.7935,0.503,0.61,0.5565,"sample_run_2019-03-01","3/1/2019","apimenta_102"
27,"20180906 M3","1:7","7",0.173,0.171,73.826,70.568,NA,3.258,3.258,0.003,0.002,1.88,1.3235,0.503,0.61,0.5565,"sample_run_2019-03-01","3/1/2019","apimenta_102"
28,"20180906 W1","1:8","8",0.072,0.07,29.305,26.047,NA,3.258,3.258,0.002,0.001,1.083,0.5265,0.503,0.61,0.5565,"sample_run_2019-03-01","3/1/2019","apimenta_102"
29,"20180906 W2","1:9","9",0.065,0.064,26.644,23.386,NA,3.258,3.258,0.002,0.001,1.039,0.4825,0.503,0.61,0.5565,"sample_run_2019-03-01","3/1/2019","apimenta_102"
30,"20180906 W3","1:10","10",0.066,0.064,26.939,23.681,NA,3.258,3.258,0.002,0.001,1.197,0.6405,0.503,0.61,0.5565,"sample_run_2019-03-01","3/1/2019","apimenta_102"
33,"20180906 W3","1:10","10dup",0.064,0.062,26.112,22.854,NA,3.258,3.258,0.002,0.001,1.144,0.5875,0.503,0.61,0.5565,"sample_run_2019-03-01","3/1/2019","apimenta_102"
34,"20180913 W1","1:11","11",0.073,0.071,30.062,26.804,NA,3.258,3.258,0.002,0.001,1.403,0.8465,0.503,0.61,0.5565,"sample_run_2019-03-01","3/1/2019","apimenta_102"
35,"20180913 W2","1:12","12",0.075,0.073,30.877,27.619,NA,3.258,3.258,0.002,0.001,1.408,0.8515,0.503,0.61,0.5565,"sample_run_2019-03-01","3/1/2019","apimenta_102"
37,"20180913 Y1","1:14","14",0.065,0.064,26.655,23.397,3.258,NA,3.258,0.002,0.001,0.918,0.308,0.61,NA,0.61,"sample_run_2019-03-01","3/1/2019","apimenta_102"
40,"20180913 Y2","1:15","15",0.065,0.064,26.752,23.494,3.258,NA,3.258,0.002,0.001,1.116,0.506,0.61,NA,0.61,"sample_run_2019-03-01","3/1/2019","apimenta_102"
41,"20180913 Y3","1:16","16",0.069,0.067,28.364,25.106,3.258,NA,3.258,0.002,0.001,0.903,0.293,0.61,NA,0.61,"sample_run_2019-03-01","3/1/2019","apimenta_102"
42,"20180913 M1","1:17","17",0.16,0.159,68.313,65.055,3.258,NA,3.258,0.002,0.001,1.313,0.703,0.61,NA,0.61,"sample_run_2019-03-01","3/1/2019","apimenta_102"
43,"20180913 M2","1:18","18",0.165,0.163,70.324,67.066,3.258,NA,3.258,0.002,0.001,1.328,0.718,0.61,NA,0.61,"sample_run_2019-03-01","3/1/2019","apimenta_102"
44,"20180913 M3","1:19","19",0.172,0.17,73.404,70.146,3.258,NA,3.258,0.003,0.002,1.738,1.128,0.61,NA,0.61,"sample_run_2019-03-01","3/1/2019","apimenta_102"
47,"20180917 W1","1:20","20",0.067,0.065,27.436,24.178,3.258,NA,3.258,0.002,0.001,0.966,0.356,0.61,NA,0.61,"sample_run_2019-03-01","3/1/2019","apimenta_102"
48,"20180917 W1","1:20","20dup",0.069,0.067,28.228,24.97,3.258,NA,3.258,0.002,0.001,0.768,0.158,0.61,NA,0.61,"sample_run_2019-03-01","3/1/2019","apimenta_102"
49,"20180917 W2","1:21","21",0.069,0.068,28.502,25.244,3.258,NA,3.258,0.002,0,0.512,-0.098,0.61,NA,0.61,"sample_run_2019-03-01","3/1/2019","apimenta_102"
50,"20180917 W3","1:22","22",0.073,0.071,30.074,26.816,3.258,NA,3.258,0.002,0,0.36,-0.25,0.61,NA,0.61,"sample_run_2019-03-01","3/1/2019","apimenta_102"
51,"20180917 M1","1:23","23",0.154,0.153,66.041,62.783,3.258,NA,3.258,0.002,0,0.139,-0.471,0.61,NA,0.61,"sample_run_2019-03-01","3/1/2019","apimenta_102"
52,"20180917 M2","1:24","24",0.17,0.169,72.899,69.641,3.258,NA,3.258,0.006,0.003,3.422,2.812,0.61,NA,0.61,"sample_run_2019-03-01","3/1/2019","apimenta_102"
54,"20180917 M3","1:26","26",0.004,0.004,0.469,-3.686,NA,4.155,4.155,0.001,-0.002,-2.19,-2.74,NA,0.55,0.55,"sample_run_2019-03-01","3/1/2019","apimenta_102"
55,"20180919 W1","1:27","27",0.053,0.053,22.084,17.929,NA,4.155,4.155,0.046,0.043,41.596,41.046,NA,0.55,0.55,"sample_run_2019-03-01","3/1/2019","apimenta_102"
56,"20180919 W2","1:28","28",0.124,0.124,53.088,48.933,NA,4.155,4.155,0.015,0.012,11.749,11.199,NA,0.55,0.55,"sample_run_2019-03-01","3/1/2019","apimenta_102"
61,"20180919 W3","1:29","29",0.069,0.069,29.067,24.912,NA,4.155,4.155,0.005,0.001,1.13,0.58,NA,0.55,0.55,"sample_run_2019-03-01","3/1/2019","apimenta_102"
62,"20180919 M1","1:30","30",0.149,0.15,64.432,60.277,NA,4.155,4.155,0.005,0.001,1.221,0.671,NA,0.55,0.55,"sample_run_2019-03-01","3/1/2019","apimenta_102"
63,"20180919 M1","1:30","30dup",0.153,0.153,65.995,61.84,NA,4.155,4.155,0.004,0.001,1.187,0.637,NA,0.55,0.55,"sample_run_2019-03-01","3/1/2019","apimenta_102"
