"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
42,"20180629 Y1","1:17","17",0.052,0.047,20.738,16.6955,3.981,4.104,4.0425,0.003,0.001,0.651,0.1495,0.519,0.484,0.5015,"sample_run_2019-03-27","3/27/2019","apimenta_110"
43,"20180629 Y2","1:18","18",0.055,0.05,22.013,17.9705,3.981,4.104,4.0425,0.003,0.001,0.674,0.1725,0.519,0.484,0.5015,"sample_run_2019-03-27","3/27/2019","apimenta_110"
44,"20180629 Y3","1:19","19",0.053,0.048,20.849,16.8065,3.981,4.104,4.0425,0.003,0.001,0.605,0.1035,0.519,0.484,0.5015,"sample_run_2019-03-27","3/27/2019","apimenta_110"
47,"20180702 M1","1:20","20",0.063,0.058,25.258,21.2155,3.981,4.104,4.0425,0.003,0.001,0.715,0.2135,0.519,0.484,0.5015,"sample_run_2019-03-27","3/27/2019","apimenta_110"
48,"20180702 M1","1:20","20dup",0.065,0.06,26.184,22.1415,3.981,4.104,4.0425,0.003,0.001,0.824,0.3225,0.519,0.484,0.5015,"sample_run_2019-03-27","3/27/2019","apimenta_110"
49,"20180702 M2","1:21","21",0.069,0.064,27.951,23.9085,3.981,4.104,4.0425,0.003,0.001,0.833,0.3315,0.519,0.484,0.5015,"sample_run_2019-03-27","3/27/2019","apimenta_110"
50,"20180702 M3","1:22","22",0.074,0.069,30.511,26.4685,3.981,4.104,4.0425,0.003,0.001,1,0.4985,0.519,0.484,0.5015,"sample_run_2019-03-27","3/27/2019","apimenta_110"
51,"20180705 Y1","1:23","23",0.054,0.049,21.356,17.3135,3.981,4.104,4.0425,0.003,0.001,0.709,0.2075,0.519,0.484,0.5015,"sample_run_2019-03-27","3/27/2019","apimenta_110"
52,"20180705 Y2","1:24","24",0.071,0.066,29.083,25.0405,3.981,4.104,4.0425,0.003,0.001,0.725,0.2235,0.519,0.484,0.5015,"sample_run_2019-03-27","3/27/2019","apimenta_110"
54,"20180705 Y3","1:26","26",0.051,0.046,20.195,14.9715,4.104,6.343,5.2235,0.003,0.001,0.705,0.18,0.484,0.566,0.525,"sample_run_2019-03-27","3/27/2019","apimenta_110"
55,"20180702 W1","1:27","27",0.076,0.071,31.285,26.0615,4.104,6.343,5.2235,0.003,0.001,0.873,0.348,0.484,0.566,0.525,"sample_run_2019-03-27","3/27/2019","apimenta_110"
56,"20180702 W2","1:28","28",0.079,0.074,32.432,27.2085,4.104,6.343,5.2235,0.003,0.001,1.024,0.499,0.484,0.566,0.525,"sample_run_2019-03-27","3/27/2019","apimenta_110"
61,"20180702 W3","1:29","29",0.063,0.057,25.141,19.9175,4.104,6.343,5.2235,0.003,0.001,1.042,0.517,0.484,0.566,0.525,"sample_run_2019-03-27","3/27/2019","apimenta_110"
62,"20180919 M1","1:30","30",0.113,0.107,47.352,42.1285,4.104,6.343,5.2235,0.004,0.001,1.264,0.739,0.484,0.566,0.525,"sample_run_2019-03-27","3/27/2019","apimenta_110"
63,"20180919 M1","1:30","30dup",0.114,0.108,47.8,42.5765,4.104,6.343,5.2235,0.004,0.001,1.287,0.762,0.484,0.566,0.525,"sample_run_2019-03-27","3/27/2019","apimenta_110"
64,"20180919 M2","1:31","31",0.134,0.128,56.694,51.4705,4.104,6.343,5.2235,0.004,0.001,1.315,0.79,0.484,0.566,0.525,"sample_run_2019-03-27","3/27/2019","apimenta_110"
65,"20180919 M3","1:32","32",0.124,0.119,52.668,47.4445,4.104,6.343,5.2235,0.004,0.001,1.304,0.779,0.484,0.566,0.525,"sample_run_2019-03-27","3/27/2019","apimenta_110"
66,"20180919 Y1","1:33","33",0.055,0.05,21.67,16.4465,4.104,6.343,5.2235,0.003,0.001,0.756,0.231,0.484,0.566,0.525,"sample_run_2019-03-27","3/27/2019","apimenta_110"
67,"20180919 Y2","1:34","34",0.058,0.053,23.045,17.8215,4.104,6.343,5.2235,0.003,0.001,0.824,0.299,0.484,0.566,0.525,"sample_run_2019-03-27","3/27/2019","apimenta_110"
68,"20180919 Y3","1:35","35",0.061,0.056,24.518,19.2945,4.104,6.343,5.2235,0.003,0.001,0.892,0.367,0.484,0.566,0.525,"sample_run_2019-03-27","3/27/2019","apimenta_110"
69,"20181009 M1","1:36","36",0.138,0.132,58.521,53.2975,4.104,6.343,5.2235,0.004,0.001,1.24,0.715,0.484,0.566,0.525,"sample_run_2019-03-27","3/27/2019","apimenta_110"
73,"20181009 M2","1:38","38",0.149,0.143,63.421,57.9895,6.343,4.52,5.4315,0.004,0.002,1.566,0.985,0.566,0.596,0.581,"sample_run_2019-03-27","3/27/2019","apimenta_110"
74,"20181009 M3","1:39","39",0.158,0.152,67.435,62.0035,6.343,4.52,5.4315,0.005,0.003,2.328,1.747,0.566,0.596,0.581,"sample_run_2019-03-27","3/27/2019","apimenta_110"
75,"20181011 Y1","1:40","40",0.066,0.061,26.68,21.2485,6.343,4.52,5.4315,0.003,0.001,0.931,0.35,0.566,0.596,0.581,"sample_run_2019-03-27","3/27/2019","apimenta_110"
76,"20181011 Y1","1:40","40dup",0.063,0.057,25.083,19.6515,6.343,4.52,5.4315,0.003,0.001,0.898,0.317,0.566,0.596,0.581,"sample_run_2019-03-27","3/27/2019","apimenta_110"
77,"20181011 Y2","1:41","41",0.07,0.065,28.433,23.0015,6.343,4.52,5.4315,0.003,0.001,0.863,0.282,0.566,0.596,0.581,"sample_run_2019-03-27","3/27/2019","apimenta_110"
80,"20181011 Y3","1:42","42",0.069,0.063,27.803,22.3715,6.343,4.52,5.4315,0.004,0.001,1.032,0.451,0.566,0.596,0.581,"sample_run_2019-03-27","3/27/2019","apimenta_110"
81,"20181016 W1","1:43","43",0.113,0.107,47.21,41.7785,6.343,4.52,5.4315,0.004,0.001,1.271,0.69,0.566,0.596,0.581,"sample_run_2019-03-27","3/27/2019","apimenta_110"
82,"20181016 W2","1:44","44",0.114,0.108,47.632,42.2005,6.343,4.52,5.4315,0.004,0.001,1.25,0.669,0.566,0.596,0.581,"sample_run_2019-03-27","3/27/2019","apimenta_110"
83,"20181016 W3","1:45","45",0.114,0.108,47.781,42.3495,6.343,4.52,5.4315,0.004,0.002,1.507,0.926,0.566,0.596,0.581,"sample_run_2019-03-27","3/27/2019","apimenta_110"
84,"20181016 M1","1:46","46",0.133,0.127,56.272,50.8405,6.343,4.52,5.4315,0.004,0.001,1.332,0.751,0.566,0.596,0.581,"sample_run_2019-03-27","3/27/2019","apimenta_110"
87,"20181016 M2","1:47","47",0.138,0.132,58.503,53.0715,6.343,4.52,5.4315,0.004,0.002,1.432,0.851,0.566,0.596,0.581,"sample_run_2019-03-27","3/27/2019","apimenta_110"
88,"20181016 M3","1:48","48",0.125,0.119,52.581,47.1495,6.343,4.52,5.4315,0.004,0.002,1.56,0.979,0.566,0.596,0.581,"sample_run_2019-03-27","3/27/2019","apimenta_110"
90,"20170807 W1","1:50","50",0.061,0.055,23.99,20.0185,4.52,3.423,3.9715,0.004,0.001,1.098,0.611,0.596,0.378,0.487,"sample_run_2019-03-27","3/27/2019","apimenta_110"
91,"20170807 W1","1:50","50dup",0.062,0.056,24.524,20.5525,4.52,3.423,3.9715,0.004,0.001,1.102,0.615,0.596,0.378,0.487,"sample_run_2019-03-27","3/27/2019","apimenta_110"
92,"20170807 W2","1:51","51",0.058,0.052,22.804,18.8325,4.52,3.423,3.9715,0.004,0.001,1.056,0.569,0.596,0.378,0.487,"sample_run_2019-03-27","3/27/2019","apimenta_110"
93,"20170807 W3","1:52","52",0.062,0.056,24.443,20.4715,4.52,3.423,3.9715,0.004,0.001,1.09,0.603,0.596,0.378,0.487,"sample_run_2019-03-27","3/27/2019","apimenta_110"
94,"20170809 Y1","1:53","53",0.055,0.05,21.686,17.7145,4.52,3.423,3.9715,0.003,0.001,0.943,0.456,0.596,0.378,0.487,"sample_run_2019-03-27","3/27/2019","apimenta_110"
95,"20170809 Y2","1:54","54",0.057,0.051,22.415,18.4435,4.52,3.423,3.9715,0.003,0.001,0.94,0.453,0.596,0.378,0.487,"sample_run_2019-03-27","3/27/2019","apimenta_110"
96,"20170809 Y3","1:55","55",0.059,0.053,23.353,19.3815,4.52,3.423,3.9715,0.003,0.001,0.851,0.364,0.596,0.378,0.487,"sample_run_2019-03-27","3/27/2019","apimenta_110"
101,"20170807 Y1","1:56","56",0.062,0.056,24.501,20.5295,4.52,3.423,3.9715,0.003,0.001,0.793,0.306,0.596,0.378,0.487,"sample_run_2019-03-27","3/27/2019","apimenta_110"
102,"20170807 Y2","1:57","57",0.068,0.062,27.101,23.1295,4.52,3.423,3.9715,0.003,0.001,0.745,0.258,0.596,0.378,0.487,"sample_run_2019-03-27","3/27/2019","apimenta_110"
103,"20170807 Y3","1:58","58",0.07,0.065,28.404,24.4325,4.52,3.423,3.9715,0.003,0.001,0.719,0.232,0.596,0.378,0.487,"sample_run_2019-03-27","3/27/2019","apimenta_110"
104,"20180919 W3 re-run","1:59","59",0.054,0.048,20.982,17.0105,4.52,3.423,3.9715,0.004,0.001,1.011,0.524,0.596,0.378,0.487,"sample_run_2019-03-27","3/27/2019","apimenta_110"
