"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
2,NA,"SR:2","NO3 check",0.364,0.355,157.846,155.101,NA,2.745,2.745,0.002,0.001,0.767,0.4,NA,0.367,0.367,"sample_run_2019-03-27","3/27/2019","apimenta_110"
22,"Steve Shivers 2 check","1:2","2",0.083,0.079,34.892,31.529,2.745,3.981,3.363,0.003,0.001,1.027,0.584,0.367,0.519,0.443,"sample_run_2019-03-27","3/27/2019","apimenta_110"
23,"Steve Shivers 2 check","1:3","3",0.086,0.082,36.061,32.698,2.745,3.981,3.363,0.003,0.001,1.036,0.593,0.367,0.519,0.443,"sample_run_2019-03-27","3/27/2019","apimenta_110"
24,"Steve Shivers 2 check","1:4","4",0.086,0.082,36.049,32.686,2.745,3.981,3.363,0.003,0.001,1.101,0.658,0.367,0.519,0.443,"sample_run_2019-03-27","3/27/2019","apimenta_110"
25,"20180919 W1","1:5","5",0.054,0.05,21.872,18.509,2.745,3.981,3.363,0.003,0.001,0.973,0.53,0.367,0.519,0.443,"sample_run_2019-03-27","3/27/2019","apimenta_110"
26,"20180919 W2","1:6","6",0.052,0.048,21.053,17.69,2.745,3.981,3.363,0.003,0.001,1.021,0.578,0.367,0.519,0.443,"sample_run_2019-03-27","3/27/2019","apimenta_110"
27,"20180919 W3","1:7","7",0.053,0.049,21.392,18.029,2.745,3.981,3.363,0.003,0.001,0.541,0.098,0.367,0.519,0.443,"sample_run_2019-03-27","3/27/2019","apimenta_110"
28,"20180924 W1","1:8","8",0.069,0.065,28.417,25.054,2.745,3.981,3.363,0.003,0.001,0.966,0.523,0.367,0.519,0.443,"sample_run_2019-03-27","3/27/2019","apimenta_110"
29,"20180709 M1","1:9","9",0.075,0.07,30.973,27.61,2.745,3.981,3.363,0.003,0.001,0.944,0.501,0.367,0.519,0.443,"sample_run_2019-03-27","3/27/2019","apimenta_110"
30,"20180709 M2","1:10","10",0.074,0.069,30.429,27.066,2.745,3.981,3.363,0.003,0.001,0.93,0.487,0.367,0.519,0.443,"sample_run_2019-03-27","3/27/2019","apimenta_110"
33,"20180709 M2","1:10","10dup",0.07,0.066,28.942,25.579,2.745,3.981,3.363,0.003,0.001,0.974,0.531,0.367,0.519,0.443,"sample_run_2019-03-27","3/27/2019","apimenta_110"
34,"20180709 M3","1:11","11",0.073,0.068,29.892,26.529,2.745,3.981,3.363,0.003,0.001,0.97,0.527,0.367,0.519,0.443,"sample_run_2019-03-27","3/27/2019","apimenta_110"
35,"20180709 W1","1:12","12",0.063,0.058,25.43,22.067,2.745,3.981,3.363,0.003,0.001,0.905,0.462,0.367,0.519,0.443,"sample_run_2019-03-27","3/27/2019","apimenta_110"
37,"20180709 W2","1:14","14",0.065,0.06,26.5,22.4575,3.981,4.104,4.0425,0.003,0.001,0.895,0.3935,0.519,0.484,0.5015,"sample_run_2019-03-27","3/27/2019","apimenta_110"
40,"20180709 W3","1:15","15",0.068,0.064,27.973,23.9305,3.981,4.104,4.0425,0.003,0.001,0.94,0.4385,0.519,0.484,0.5015,"sample_run_2019-03-27","3/27/2019","apimenta_110"
41,"20180625 M3","1:16","16",0.077,0.073,31.987,27.9445,3.981,4.104,4.0425,0.003,0.001,0.833,0.3315,0.519,0.484,0.5015,"sample_run_2019-03-27","3/27/2019","apimenta_110"
