"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
2,NA,"SR:2","NO3 check",0.502,0.494,225.266,222.891,NA,2.375,2.375,"2E-3","1E-3",0.942,0.204,NA,0.738,0.738,"sample_run_2018-12-21","12/21/2018","apimenta_096"
22,"old V2","1:2","2",0.274,0.272,123.486,120.1205,2.375,4.356,3.3655,"4.0000000000000001E-3","3.0000000000000001E-3",3.563,2.6705,0.738,1.047,0.8925,"sample_run_2018-12-21","12/21/2018","apimenta_096"
23,"old V2","1:3","3",0.283,0.27,122.898,119.5325,2.375,4.356,3.3655,"4.0000000000000001E-3","3.0000000000000001E-3",3.514,2.6215,0.738,1.047,0.8925,"sample_run_2018-12-21","12/21/2018","apimenta_096"
24,"new V2","1:4","4",0.278,0.266,120.972,117.6065,2.375,4.356,3.3655,"4.0000000000000001E-3","4.0000000000000001E-3",3.657,2.7645,0.738,1.047,0.8925,"sample_run_2018-12-21","12/21/2018","apimenta_096"
25,"new V2","1:5","5",0.28,0.268,121.731,118.3655,2.375,4.356,3.3655,"4.0000000000000001E-3","3.0000000000000001E-3",3.58,2.6875,0.738,1.047,0.8925,"sample_run_2018-12-21","12/21/2018","apimenta_096"
26,"20180712 Y1","1:6","6",0.073,0.061,27.015,23.6495,2.375,4.356,3.3655,"2E-3","1E-3",1.122,0.2295,0.738,1.047,0.8925,"sample_run_2018-12-21","12/21/2018","apimenta_096"
27,"20180712 Y2","1:7","7",0.07,0.065,29.208,25.8425,2.375,4.356,3.3655,"2E-3","1E-3",1.181,0.2885,0.738,1.047,0.8925,"sample_run_2018-12-21","12/21/2018","apimenta_096"
28,"20180712 Y3","1:8","8",0.068,0.064,28.552,25.1865,2.375,4.356,3.3655,"2E-3","1E-3",1.125,0.2325,0.738,1.047,0.8925,"sample_run_2018-12-21","12/21/2018","apimenta_096"
29,"20180716 M1","1:9","9",0.113,0.109,49.156,45.7905,2.375,4.356,3.3655,"2E-3","1E-3",1.547,0.6545,0.738,1.047,0.8925,"sample_run_2018-12-21","12/21/2018","apimenta_096"
30,"20180716 M2","1:10","10",0.118,0.112,50.403,47.0375,2.375,4.356,3.3655,"2E-3","2E-3",1.704,0.8115,0.738,1.047,0.8925,"sample_run_2018-12-21","12/21/2018","apimenta_096"
31,"20180716 M2","1:10","10dup",0.118,0.112,50.436,47.0705,2.375,4.356,3.3655,"2E-3","2E-3",1.59,0.6975,0.738,1.047,0.8925,"sample_run_2018-12-21","12/21/2018","apimenta_096"
32,"20180716 M3","1:11","11",0.122,0.116,52.274,48.9085,2.375,4.356,3.3655,"3.0000000000000001E-3","2E-3",1.853,0.9605,0.738,1.047,0.8925,"sample_run_2018-12-21","12/21/2018","apimenta_096"
33,"20180716 W1","1:12","12",0.073,0.067,29.871,26.5055,2.375,4.356,3.3655,"2E-3","1E-3",1.435,0.5425,0.738,1.047,0.8925,"sample_run_2018-12-21","12/21/2018","apimenta_096"
35,"20180716 W2","1:14","14",0.072,0.07,31.392,27.4005,4.356,3.627,3.9915,"2E-3","1E-3",1.417,0.3295,1.047,1.128,1.0875,"sample_run_2018-12-21","12/21/2018","apimenta_096"
38,"20180716 W3","1:15","15",0.07,0.067,30.176,26.1845,4.356,3.627,3.9915,"2E-3","1E-3",1.472,0.3845,1.047,1.128,1.0875,"sample_run_2018-12-21","12/21/2018","apimenta_096"
39,"20180716 Y1","1:16","16",0.064,0.06,26.739,22.7475,4.356,3.627,3.9915,"2E-3","1E-3",1.084,-0.00349999999999984,1.047,1.128,1.0875,"sample_run_2018-12-21","12/21/2018","apimenta_096"
40,"20180716 Y2","1:17","17",0.066,0.061,27.363,23.3715,4.356,3.627,3.9915,"2E-3","1E-3",1.026,-0.0614999999999999,1.047,1.128,1.0875,"sample_run_2018-12-21","12/21/2018","apimenta_096"
41,"20180716 Y3","1:18","18",0.063,0.059,26.253,22.2615,4.356,3.627,3.9915,"2E-3","1E-3",1.136,0.0485,1.047,1.128,1.0875,"sample_run_2018-12-21","12/21/2018","apimenta_096"
42,"20180718 M1","1:19","19",0.128,0.124,55.816,51.8245,4.356,3.627,3.9915,"3.0000000000000001E-3","2E-3",1.785,0.6975,1.047,1.128,1.0875,"sample_run_2018-12-21","12/21/2018","apimenta_096"
43,"20180718 M2","1:20","20",0.127,0.12,54.282,50.2905,4.356,3.627,3.9915,"2E-3","2E-3",1.733,0.6455,1.047,1.128,1.0875,"sample_run_2018-12-21","12/21/2018","apimenta_096"
44,"20180718 M2","1:20","20dup",0.126,0.12,54.009,50.0175,4.356,3.627,3.9915,"2E-3","2E-3",1.733,0.6455,1.047,1.128,1.0875,"sample_run_2018-12-21","12/21/2018","apimenta_096"
45,"20180718 M3","1:21","21",0.146,0.14,63.135,59.1435,4.356,3.627,3.9915,"3.0000000000000001E-3","2E-3",2.413,1.3255,1.047,1.128,1.0875,"sample_run_2018-12-21","12/21/2018","apimenta_096"
46,"20180718 W1","1:22","22",0.071,0.064,28.688,24.6965,4.356,3.627,3.9915,"2E-3","1E-3",1.438,0.3505,1.047,1.128,1.0875,"sample_run_2018-12-21","12/21/2018","apimenta_096"
47,"20180718 W2","1:23","23",0.067,0.063,28.162,24.1705,4.356,3.627,3.9915,"2E-3","1E-3",1.531,0.4435,1.047,1.128,1.0875,"sample_run_2018-12-21","12/21/2018","apimenta_096"
48,"20180718 W3","1:24","24",0.067,0.063,28.183,24.1915,4.356,3.627,3.9915,"2E-3","1E-3",1.533,0.4455,1.047,1.128,1.0875,"sample_run_2018-12-21","12/21/2018","apimenta_096"
50,"20180731 Y1","1:26","26",0.086,0.084,37.585,33.661,3.627,4.221,3.924,"3.0000000000000001E-3","2E-3",2.131,0.9745,1.128,1.185,1.1565,"sample_run_2018-12-21","12/21/2018","apimenta_096"
51,"20180731 Y2","1:27","27",0.066,0.061,27.226,23.302,3.627,4.221,3.924,"2E-3","1E-3",1.299,0.1425,1.128,1.185,1.1565,"sample_run_2018-12-21","12/21/2018","apimenta_096"
52,"20180731 Y3","1:28","28",0.062,0.058,25.665,21.741,3.627,4.221,3.924,"2E-3","1E-3",1.272,0.1155,1.128,1.185,1.1565,"sample_run_2018-12-21","12/21/2018","apimenta_096"
55,"20180802 M1","1:29","29",0.151,0.149,67.314,63.39,3.627,4.221,3.924,"3.0000000000000001E-3","2E-3",2.081,0.9245,1.128,1.185,1.1565,"sample_run_2018-12-21","12/21/2018","apimenta_096"
56,"20180802 M2","1:30","30",0.149,0.142,64.077,60.153,3.627,4.221,3.924,"3.0000000000000001E-3","2E-3",1.822,0.6655,1.128,1.185,1.1565,"sample_run_2018-12-21","12/21/2018","apimenta_096"
57,"20180802 M2","1:30","30dup",0.149,0.142,64.042,60.118,3.627,4.221,3.924,"3.0000000000000001E-3","2E-3",1.821,0.6645,1.128,1.185,1.1565,"sample_run_2018-12-21","12/21/2018","apimenta_096"
58,"20180802 M3","1:31","31",0.15,0.142,64.453,60.529,3.627,4.221,3.924,"3.0000000000000001E-3","2E-3",1.782,0.6255,1.128,1.185,1.1565,"sample_run_2018-12-21","12/21/2018","apimenta_096"
