"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
2,NA,"SR:2","NO3 check",0.465,0.456,202.03,203.145,NA,-1.115,-1.115,0.004,0.003,3.901,3.82,NA,0.081,0.081,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
10,"20180625 M3","1:31","31",0.089,0.08,34.056,34.9315,-1.039,-0.712,-0.8755,0.001,0,0.338,0.382,-0.085,-0.003,-0.044,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
11,"20180628 W1","1:32","32",0.116,0.103,44.403,45.2785,-1.039,-0.712,-0.8755,0.001,0,0.333,0.377,-0.085,-0.003,-0.044,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
12,"20180628 W2","1:33","33",0.112,0.099,42.363,43.2385,-1.039,-0.712,-0.8755,0.001,0,0.349,0.393,-0.085,-0.003,-0.044,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
13,"20180628 W3","1:34","34",0.116,0.103,44.115,44.9905,-1.039,-0.712,-0.8755,0.001,0,0.4,0.444,-0.085,-0.003,-0.044,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
14,"20180629 Y1","1:35","35",0.063,0.049,20.765,21.6405,-1.039,-0.712,-0.8755,0.001,0,0.067,0.111,-0.085,-0.003,-0.044,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
15,"20180629 Y2","1:36","36",0.075,0.064,27.237,28.1125,-1.039,-0.712,-0.8755,0.001,0,0.238,0.282,-0.085,-0.003,-0.044,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
16,"20180629 Y3","1:37","37",0.062,0.05,21.287,22.1625,-1.039,-0.712,-0.8755,0.001,0,0.177,0.221,-0.085,-0.003,-0.044,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
19,"20180702 M1","1:40","40",0.081,0.072,30.928,NA,NA,NA,NA,0.001,0,0.374,0.371,0.003,NA,0.003,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
20,"20180702 M1","1:40","40dup",0.08,0.067,28.733,NA,NA,NA,NA,0.001,0,0.355,0.352,0.003,NA,0.003,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
21,"20180702 M2","1:41","41",0.078,0.066,28.056,NA,NA,NA,NA,0.001,0,0.368,0.365,0.003,NA,0.003,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
22,"20180702 M3","1:42","42",0.078,0.066,28.098,NA,NA,NA,NA,0.001,0.001,0.508,0.505,0.003,NA,0.003,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
25,"20180702 W1","1:43","43",0.088,0.079,33.744,NA,NA,NA,NA,0.001,0.001,0.469,0.466,0.003,NA,0.003,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
26,"20180702 W2","1:44","44",0.088,0.075,32.139,NA,NA,NA,NA,0.001,0,0.308,0.305,0.003,NA,0.003,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
27,"20180702 W3","1:45","45",0.086,0.074,31.447,NA,NA,NA,NA,0.001,0.001,0.439,0.436,0.003,NA,0.003,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
28,"20180705 Y1","1:46","46",0.07,0.057,24.403,NA,NA,NA,NA,0.001,0,0.262,0.259,0.003,NA,0.003,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
29,"20180705 Y2","1:47","47",0.061,0.05,21.078,NA,NA,NA,NA,0.001,0,0.248,0.245,0.003,NA,0.003,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
30,"20180705 Y3","1:48","48",0.063,0.052,21.848,NA,NA,NA,NA,0.001,0,0.377,0.374,0.003,NA,0.003,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
34,"20180709 M1","1:51","51",0.081,0.072,30.953,NA,NA,NA,NA,0.001,0.001,0.586,NA,NA,NA,NA,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
35,"20180709 M2","1:52","52",0.092,0.08,34.07,NA,NA,NA,NA,0.002,0.001,1.077,NA,NA,NA,NA,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
36,"20180709 M3","1:53","53",0.074,0.062,26.396,NA,NA,NA,NA,0.001,0.001,0.535,NA,NA,NA,NA,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
37,"20180709 W1","1:54","54",0.064,0.052,22.173,NA,NA,NA,NA,0.001,0,0.367,NA,NA,NA,NA,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
38,"20180709 W2","1:55","55",0.063,0.052,21.971,NA,NA,NA,NA,0.001,0,0.385,NA,NA,NA,NA,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
39,"20180709 W3","1:56","56",0.067,0.056,23.734,NA,NA,NA,NA,0.001,0.001,0.444,NA,NA,NA,NA,"sample_run_2018-12-20b","12/20/2018","apimenta_095"
