"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
2,NA,"SR:2","NO3 check",0.379,0.371,160.499,157.827,NA,2.672,2.672,0.005,0.004,4.162,3.916,NA,0.246,0.246,"sample_run_2019-03-26","3/26/2019","apimenta_109"
22,"Steven Shivers 2 check","1:2","2",0.082,0.08,34.19,31.2855,2.672,3.137,2.9045,0.002,0.001,0.983,0.6015,0.246,0.517,0.3815,"sample_run_2019-03-26","3/26/2019","apimenta_109"
23,"Steven Shivers 2 check","1:3","3",0.085,0.082,34.905,32.0005,2.672,3.137,2.9045,0.002,0.001,0.882,0.5005,0.246,0.517,0.3815,"sample_run_2019-03-26","3/26/2019","apimenta_109"
24,"Steven Shivers 2 check","1:4","4",0.085,0.082,34.913,32.0085,2.672,3.137,2.9045,0.002,0.001,0.953,0.5715,0.246,0.517,0.3815,"sample_run_2019-03-26","3/26/2019","apimenta_109"
25,"20170802 W1","1:5","5",0.05,0.047,19.728,16.8235,2.672,3.137,2.9045,0.001,0.001,0.72,0.3385,0.246,0.517,0.3815,"sample_run_2019-03-26","3/26/2019","apimenta_109"
26,"20170802 W2","1:6","6",0.045,0.042,17.769,14.8645,2.672,3.137,2.9045,0.001,0.001,0.773,0.3915,0.246,0.517,0.3815,"sample_run_2019-03-26","3/26/2019","apimenta_109"
27,"20170802 W3","1:7","7",0.04,0.038,15.821,12.9165,2.672,3.137,2.9045,0.001,0.001,0.638,0.2565,0.246,0.517,0.3815,"sample_run_2019-03-26","3/26/2019","apimenta_109"
28,"20170802 Y2","1:8","8",0.061,0.059,25.042,22.1375,2.672,3.137,2.9045,0.001,0.001,0.652,0.2705,0.246,0.517,0.3815,"sample_run_2019-03-26","3/26/2019","apimenta_109"
29,"20170802 Y3","1:9","9",0.054,0.051,21.606,18.7015,2.672,3.137,2.9045,0.001,0,0.576,0.1945,0.246,0.517,0.3815,"sample_run_2019-03-26","3/26/2019","apimenta_109"
30,"20170814 W2","1:10","10",0.09,0.087,37.41,34.5055,2.672,3.137,2.9045,0.002,0.001,1.051,0.6695,0.246,0.517,0.3815,"sample_run_2019-03-26","3/26/2019","apimenta_109"
33,"20170814 W2","1:10","10dup",0.089,0.087,37.428,34.5235,2.672,3.137,2.9045,0.002,0.001,1.05,0.6685,0.246,0.517,0.3815,"sample_run_2019-03-26","3/26/2019","apimenta_109"
34,"20170814 W3","1:11","11",0.09,0.087,37.173,34.2685,2.672,3.137,2.9045,0.002,0.001,1.114,0.7325,0.246,0.517,0.3815,"sample_run_2019-03-26","3/26/2019","apimenta_109"
35,"20180618 M3","1:12","12",0.084,0.08,34.407,31.5025,2.672,3.137,2.9045,0.002,0.001,1.085,0.7035,0.246,0.517,0.3815,"sample_run_2019-03-26","3/26/2019","apimenta_109"
37,"20180816 W2","1:14","14",0.045,0.043,18.214,15.0075,3.137,3.276,3.2065,0.001,0.001,0.754,0.1965,0.517,0.598,0.5575,"sample_run_2019-03-26","3/26/2019","apimenta_109"
40,"20180816 W3","1:15","15",0.044,0.042,17.684,14.4775,3.137,3.276,3.2065,0.002,0.001,0.907,0.3495,0.517,0.598,0.5575,"sample_run_2019-03-26","3/26/2019","apimenta_109"
41,"20180820 W1","1:16","16",0.051,0.049,20.587,17.3805,3.137,3.276,3.2065,0.01,0.009,9.772,9.2145,0.517,0.598,0.5575,"sample_run_2019-03-26","3/26/2019","apimenta_109"
