"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
2,NA,"SR:2","NO3 check",0.365,0.357,160.687,157.924,NA,2.763,2.763,-0.002,0,-0.115,-0.754,NA,0.639,0.639,"sample_run_2019-03-19","3/19/2019","apimenta_107"
22,"Steve Shivers 2 check","1:2","2",0.284,0.281,126.615,122.37,2.763,5.727,4.245,0.002,0.003,3.484,2.813,0.639,0.703,0.671,"sample_run_2019-03-19","3/19/2019","apimenta_107"
23,"Steve Shivers 2 check","1:3","3",0.291,0.279,125.667,121.422,2.763,5.727,4.245,0.002,0.003,3.511,2.84,0.639,0.703,0.671,"sample_run_2019-03-19","3/19/2019","apimenta_107"
24,"20170806 W1","1:4","4",0.115,0.103,46.263,42.018,2.763,5.727,4.245,0,0.001,1.105,0.434,0.639,0.703,0.671,"sample_run_2019-03-19","3/19/2019","apimenta_107"
31,"20170806 W2","1:5","5",0.105,0.103,45.952,41.707,2.763,5.727,4.245,0,0.001,1.113,0.442,0.639,0.703,0.671,"sample_run_2019-03-19","3/19/2019","apimenta_107"
32,"20170806 W3","1:6","6",0.109,0.104,46.399,42.154,2.763,5.727,4.245,0,0.001,1.043,0.372,0.639,0.703,0.671,"sample_run_2019-03-19","3/19/2019","apimenta_107"
33,"20170821 Y1","1:7","7",0.077,0.071,31.728,27.483,2.763,5.727,4.245,0,0.001,0.818,0.147,0.639,0.703,0.671,"sample_run_2019-03-19","3/19/2019","apimenta_107"
34,"20170821 Y2","1:8","8",0.072,0.067,30.045,25.8,2.763,5.727,4.245,0,0.001,0.642,-0.029,0.639,0.703,0.671,"sample_run_2019-03-19","3/19/2019","apimenta_107"
35,"20170821 Y3","1:9","9",0.074,0.07,30.993,26.748,2.763,5.727,4.245,0,0.001,0.763,0.092,0.639,0.703,0.671,"sample_run_2019-03-19","3/19/2019","apimenta_107"
36,"20170821 W1","1:10","10",0.135,0.131,58.519,54.274,2.763,5.727,4.245,0,0.001,1.336,0.665,0.639,0.703,0.671,"sample_run_2019-03-19","3/19/2019","apimenta_107"
37,"20170821 W1","1:10","10dup",0.137,0.131,58.669,54.424,2.763,5.727,4.245,0,0.001,1.488,0.817,0.639,0.703,0.671,"sample_run_2019-03-19","3/19/2019","apimenta_107"
38,"20170821 W2","1:11","11",0.141,0.134,60.082,55.837,2.763,5.727,4.245,0,0.001,1.46,0.789,0.639,0.703,0.671,"sample_run_2019-03-19","3/19/2019","apimenta_107"
39,"20170821 W3","1:12","12",0.138,0.132,59.11,54.865,2.763,5.727,4.245,0,0.001,1.125,0.454,0.639,0.703,0.671,"sample_run_2019-03-19","3/19/2019","apimenta_107"
43,"20170824 Y1","1:14","14",0.069,0.067,29.735,23.8585,5.727,6.026,5.8765,0.001,0.002,2.059,1.2805,0.703,0.854,0.7785,"sample_run_2019-03-19","3/19/2019","apimenta_107"
44,"20170824 Y2","1:15","15",0.072,0.068,30.195,24.3185,5.727,6.026,5.8765,-0.004,-0.003,-2.579,-3.3575,0.703,0.854,0.7785,"sample_run_2019-03-19","3/19/2019","apimenta_107"
