"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
2,NA,"SR:2","NO3 check",0.392,0.384,163.817,161.668,NA,2.149,2.149,0.003,0.002,1.842,1.246,NA,0.596,0.596,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
22,"Steven Shivers 2 check","1:2","2",0.088,0.084,35.187,30.808,2.149,6.609,4.379,0.002,0.001,1.059,0.3615,0.596,0.799,0.6975,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
23,"Steven Shivers 2 check","1:3","3",0.088,0.084,35.317,30.938,2.149,6.609,4.379,0.002,0.001,1.096,0.3985,0.596,0.799,0.6975,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
24,"Steven Shivers 2 check","1:4","4",0.087,0.083,34.926,30.547,2.149,6.609,4.379,0.002,0.001,1.181,0.4835,0.596,0.799,0.6975,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
25,"20180927 W1","1:5","5",0.095,0.091,38.221,33.842,2.149,6.609,4.379,0.002,0.001,1.063,0.3655,0.596,0.799,0.6975,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
26,"20180927 W2","1:6","6",0.096,0.092,38.672,34.293,2.149,6.609,4.379,0.002,0.001,1.087,0.3895,0.596,0.799,0.6975,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
27,"20180927 W3","1:7","7",0.096,0.091,38.411,34.032,2.149,6.609,4.379,0.002,0.001,1.104,0.4065,0.596,0.799,0.6975,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
28,"20180922 W1","1:8","8",0.134,0.13,54.83,50.451,2.149,6.609,4.379,0.002,0.001,1.263,0.5655,0.596,0.799,0.6975,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
29,"20180922 W2","1:9","9",0.148,0.143,60.765,56.386,2.149,6.609,4.379,0.002,0.001,1.378,0.6805,0.596,0.799,0.6975,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
30,"20180922 W3","1:10","10",0.134,0.13,55.113,50.734,2.149,6.609,4.379,0.002,0.001,1.308,0.6105,0.596,0.799,0.6975,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
33,"20180922 W3","1:10","10dup",0.131,0.127,53.614,49.235,2.149,6.609,4.379,0.002,0.001,1.31,0.6125,0.596,0.799,0.6975,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
34,"20180922 M1","1:11","11",0.157,0.153,64.764,60.385,2.149,6.609,4.379,0.002,0.001,1.31,0.6125,0.596,0.799,0.6975,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
35,"20180922 M2","1:12","12",0.169,0.164,69.725,65.346,2.149,6.609,4.379,0.002,0.001,1.445,0.7475,0.596,0.799,0.6975,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
37,"20180922 M3","1:14","14",0.167,0.162,68.894,63.9325,6.609,3.314,4.9615,0.002,0.001,1.505,0.772,0.799,0.667,0.733,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
40,"20181024 Y1","1:15","15",0.076,0.071,29.719,24.7575,6.609,3.314,4.9615,0.002,0.001,1.125,0.392,0.799,0.667,0.733,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
41,"20181024 Y2","1:16","16",0.081,0.075,31.601,26.6395,6.609,3.314,4.9615,0.002,0.001,1.195,0.462,0.799,0.667,0.733,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
