"peak","position","identifier","name","type","n_raw_ht","n_cor_ht","n_um","p_raw_ht","p_cor_ht","p_um","run_name","run_date","operator"
2,"SR:2","NO3 check",NA,"Unknown",0.392,0.384,163.817,0.003,0.002,1.842,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
3,"SR:3","NOX%",NA,"NO3 check",0.379,0.37,158.204,0.001,0,0.404,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
4,"SR:4","CO",NA,"Carry over",0.038,0.03,12.152,0.001,0,0.234,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
5,"SR:5","W",NA,"Wash",0.008,0,-0.797,0.001,0,0.294,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
6,"SR:6","C1",NA,"Calibrant",0.008,0,-0.814,0.001,0,0.215,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
7,"SR:7","C2",NA,"Calibrant",0.022,0.014,5.255,0.001,0,0.28,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
8,"SR:8","C3",NA,"Calibrant",0.068,0.06,25.159,0.001,0,0.304,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
9,"SR:9","C4",NA,"Calibrant",0.198,0.19,80.866,0.001,0,0.425,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
10,"SR:10","C5",NA,"Calibrant",0.381,0.374,159.534,0.002,0.001,0.894,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
11,"SR:11","C6",NA,"Calibrant",0.039,0.032,13.093,0.001,0,0.538,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
12,"SR:12","C7",NA,"Calibrant",0.012,0.005,1.539,0.002,0.001,1.359,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
13,"SR:13","C8",NA,"Calibrant",0.011,0.004,1.026,0.009,0.008,7.734,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
14,"SR:14","C9",NA,"Calibrant",0.009,0.003,0.576,0.018,0.017,15.155,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
15,"SR:15","CC1",NA,"Check Cal",0.238,0.232,98.688,0.001,0,0.454,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
16,"SR:16","CC2",NA,"Check Cal",0.036,0.03,12.202,0.007,0.006,5.71,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
17,"SR:5","PAUSE",NA,"Pause",0.009,0.004,0.886,0,-0.001,-0.49,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
18,"SR:1","SYNC",NA,"SYNC",0.609,0.604,258.458,0.198,0.196,173.789,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
19,"0","AutoWash",NA,"AutoWash",0.026,0.021,8.317,0.002,0.001,1.223,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
20,"0","AutoWash",NA,"AutoWash",0.004,0,-0.797,0.001,0,0.294,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
21,"1:1","1",NA,"Unknown",0.011,0.007,2.149,0.001,0,0.596,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
22,"1:2","2",NA,"Unknown",0.088,0.084,35.187,0.002,0.001,1.059,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
23,"1:3","3",NA,"Unknown",0.088,0.084,35.317,0.002,0.001,1.096,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
24,"1:4","4",NA,"Unknown",0.087,0.083,34.926,0.002,0.001,1.181,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
25,"1:5","5",NA,"Unknown",0.095,0.091,38.221,0.002,0.001,1.063,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
26,"1:6","6",NA,"Unknown",0.096,0.092,38.672,0.002,0.001,1.087,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
27,"1:7","7",NA,"Unknown",0.096,0.091,38.411,0.002,0.001,1.104,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
28,"1:8","8",NA,"Unknown",0.134,0.13,54.83,0.002,0.001,1.263,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
29,"1:9","9",NA,"Unknown",0.148,0.143,60.765,0.002,0.001,1.378,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
30,"1:10","10",NA,"Unknown",0.134,0.13,55.113,0.002,0.001,1.308,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
31,"0","AutoWash",NA,"AutoWash",0.008,0.004,1.034,0.001,0,0.256,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
32,"0","AutoWash",NA,"AutoWash",0.004,0,-0.797,0.001,0,0.294,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
33,"1:10","10dup",NA,"Unknown",0.131,0.127,53.614,0.002,0.001,1.31,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
34,"1:11","11",NA,"Unknown",0.157,0.153,64.764,0.002,0.001,1.31,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
35,"1:12","12",NA,"Unknown",0.169,0.164,69.725,0.002,0.001,1.445,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
36,"1:13","13",NA,"Unknown",0.022,0.017,6.609,0.002,0.001,0.799,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
37,"1:14","14",NA,"Unknown",0.167,0.162,68.894,0.002,0.001,1.505,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
38,"SR:15","CC1",NA,"Check Cal",0.247,0.242,103.261,0.001,0,0.683,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
39,"SR:16","CC2",NA,"Check Cal",0.039,0.034,13.792,0.007,0.006,5.719,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
40,"1:15","15",NA,"Unknown",0.076,0.071,29.719,0.002,0.001,1.125,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
41,"1:16","16",NA,"Unknown",0.081,0.075,31.601,0.002,0.001,1.195,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
42,"1:17","17",NA,"Unknown",0.086,0.08,33.527,0.002,0.001,1.127,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
43,"1:18","18",NA,"Unknown",0.135,0.129,54.746,0.002,0.001,1.233,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
44,"1:19","19",NA,"Unknown",0.135,0.129,54.487,0.002,0.001,1.281,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
45,"0","AutoWash",NA,"AutoWash",0.01,0.004,1.093,0.001,0,0.24,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
46,"0","AutoWash",NA,"AutoWash",0.006,0,-0.797,0.001,0,0.294,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
47,"1:20","20",NA,"Unknown",0.134,0.128,54.157,0.002,0.001,1.316,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
48,"1:20","20dup",NA,"Unknown",0.138,0.131,55.581,0.002,0.001,1.397,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
49,"1:21","21",NA,"Unknown",0.161,0.154,65.339,0.002,0.001,1.162,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
50,"1:22","22",NA,"Unknown",0.173,0.167,70.704,0.002,0.001,1.41,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
51,"1:23","23",NA,"Unknown",0.176,0.169,71.735,0.002,0.001,1.314,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
52,"1:24","24",NA,"Unknown",0.082,0.075,31.383,0.002,0.001,1.025,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
53,"1:25","25",NA,"Unknown",0.017,0.01,3.314,0.002,0,0.667,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
54,"1:26","26",NA,"Unknown",0.085,0.078,32.544,0.002,0.001,1.241,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
55,"1:27","27",NA,"Unknown",0.076,0.069,28.862,0.002,0.001,1.067,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
56,"1:28","28",NA,"Unknown",0.129,0.122,51.429,0.002,0.001,1.294,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
57,"0","AutoWash",NA,"AutoWash",0.012,0.004,0.963,0.001,0,0.411,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
58,"0","AutoWash",NA,"AutoWash",0.008,0,-0.797,0.001,0,0.294,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
59,"SR:15","CC1",NA,"Check Cal",0.245,0.238,101.191,0.002,0.001,0.813,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
60,"SR:16","CC2",NA,"Check Cal",0.041,0.033,13.48,0.007,0.006,5.817,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
61,"1:29","29",NA,"Unknown",0.127,0.119,50.42,0.002,0.001,1.355,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
62,"1:30","30",NA,"Unknown",0.13,0.121,51.287,0.002,0.001,1.305,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
63,"1:30","30dup",NA,"Unknown",0.13,0.121,51.327,0.002,0.001,1.337,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
64,"1:31","31",NA,"Unknown",0.164,0.155,65.664,0.002,0.001,1.241,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
65,"1:32","32",NA,"Unknown",0.184,0.175,74.212,0.003,0.002,1.707,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
66,"1:33","33",NA,"Unknown",0.14,0.131,55.494,0.002,0.001,1.294,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
67,"1:34","34",NA,"Unknown",0.139,0.13,55.078,0.002,0.001,1.247,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
68,"1:35","35",NA,"Unknown",0.143,0.133,56.367,0.002,0.001,1.229,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
69,"1:36","36",NA,"Unknown",0.165,0.155,65.729,0.002,0.001,1.096,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
70,"1:37","37",NA,"Unknown",0.18,0.171,72.401,0.003,0.001,1.483,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
71,"0","AutoWash",NA,"AutoWash",0.016,0.006,1.671,0.002,0,0.411,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
72,"0","AutoWash",NA,"AutoWash",0.01,0,-0.797,0.001,0,0.294,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
73,"1:38","38",NA,"Unknown",0.162,0.152,64.37,0.002,0.001,1.075,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
74,"1:39","39",NA,"Unknown",0.022,0.011,4.135,0.002,0,0.719,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
75,"0","AutoWash",NA,"AutoWash",0.011,0,-0.673,0.002,0,0.243,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
76,"0","AutoWash",NA,"AutoWash",0.011,0,-0.797,0.002,0,0.294,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
77,"SR:15","CC1",NA,"Check Cal",0.246,0.235,100.268,0.002,0,0.642,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
78,"SR:16","CC2",NA,"Check Cal",0.044,0.033,13.484,0.008,0.006,5.705,"sample_run_2019-03-07","3/7/2019","apimenta_104 LC"
1,"SR:1","SYNC",NA,"SYNC",0.266,0.259,114.776,0.191,0.19,196.117,"sample_run_2019-03-13","3/13/2019","apimenta_105"
2,"SR:2","NO3 check",NA,"Unknown",0.368,0.361,160.144,0.003,0.002,2.09,"sample_run_2019-03-13","3/13/2019","apimenta_105"
3,"SR:3","NOX%",NA,"NO3 check",0.438,0.43,190.946,0.001,0,0.24,"sample_run_2019-03-13","3/13/2019","apimenta_105"
4,"SR:4","CO",NA,"Carry over",0.039,0.032,14.092,0.001,0,0.616,"sample_run_2019-03-13","3/13/2019","apimenta_105"
5,"SR:5","W",NA,"Wash",0.007,0,-0.074,0.001,0,0.157,"sample_run_2019-03-13","3/13/2019","apimenta_105"
6,"SR:6","C1",NA,"Calibrant",0.007,0,-0.122,0.001,0,0.051,"sample_run_2019-03-13","3/13/2019","apimenta_105"
7,"SR:7","C2",NA,"Calibrant",0.018,0.011,4.9,0.001,0,0.091,"sample_run_2019-03-13","3/13/2019","apimenta_105"
8,"SR:8","C3",NA,"Calibrant",0.063,0.057,25.061,0.001,0,0.112,"sample_run_2019-03-13","3/13/2019","apimenta_105"
9,"SR:9","C4",NA,"Calibrant",0.187,0.181,80.334,0.001,0,0.2,"sample_run_2019-03-13","3/13/2019","apimenta_105"
10,"SR:10","C5",NA,"Calibrant",0.366,0.36,159.827,0.001,0,0.274,"sample_run_2019-03-13","3/13/2019","apimenta_105"
11,"SR:11","C6",NA,"Calibrant",0.033,0.028,12.324,0.001,0,0.32,"sample_run_2019-03-13","3/13/2019","apimenta_105"
12,"SR:12","C7",NA,"Calibrant",0.008,0.003,1.213,0.002,0.001,1.37,"sample_run_2019-03-13","3/13/2019","apimenta_105"
13,"SR:13","C8",NA,"Calibrant",0.007,0.003,1.167,0.004,0.004,3.974,"sample_run_2019-03-13","3/13/2019","apimenta_105"
14,"SR:14","C9",NA,"Calibrant",0.007,0.003,1.313,0.008,0.008,8.035,"sample_run_2019-03-13","3/13/2019","apimenta_105"
15,"SR:15","CC1","NO3 100 uM","Check Cal",0.227,0.224,99.173,0.001,0,0.105,"sample_run_2019-03-13","3/13/2019","apimenta_105"
16,"SR:16","CC2","PO4 6.25","Check Cal",0.014,0.01,4.551,0.007,0.006,6.291,"sample_run_2019-03-13","3/13/2019","apimenta_105"
17,"SR:5","PAUSE",NA,"Pause",0.007,0.004,1.877,0.001,0,0.373,"sample_run_2019-03-13","3/13/2019","apimenta_105"
18,"SR:1","SYNC",NA,"SYNC",0.264,0.263,116.546,0.189,0.188,193.809,"sample_run_2019-03-13","3/13/2019","apimenta_105"
19,"0","AutoWash",NA,"AutoWash",0.008,0.006,2.77,0.003,0.002,2.102,"sample_run_2019-03-13","3/13/2019","apimenta_105"
20,"0","AutoWash",NA,"AutoWash",0.001,0,-0.074,0.001,0,0.157,"sample_run_2019-03-13","3/13/2019","apimenta_105"
21,"1:1","1","digested milliQ","Unknown",0.007,0.006,2.779,0.001,0,0.337,"sample_run_2019-03-13","3/13/2019","apimenta_105"
22,"1:2","2","digested milliQ","Unknown",0.008,0.007,2.908,0.001,0,0.396,"sample_run_2019-03-13","3/13/2019","apimenta_105"
23,"1:3","3","extra PO4 std. 6uM","Unknown",0.021,0.02,8.79,0.007,0.006,6.212,"sample_run_2019-03-13","3/13/2019","apimenta_105"
24,"1:4","4","extra PO4 std. 6uM","Unknown",0.016,0.015,6.508,0.007,0.006,6.255,"sample_run_2019-03-13","3/13/2019","apimenta_105"
25,"SR:5","PAUSE",NA,"Pause",0.007,0.007,2.837,0.001,0,0.513,"sample_run_2019-03-13","3/13/2019","apimenta_105"
26,"SR:1","SYNC",NA,"SYNC",0.265,0.264,116.976,0.19,0.188,194.12,"sample_run_2019-03-13","3/13/2019","apimenta_105"
27,"0","AutoWash",NA,"AutoWash",0.006,0.005,2.335,0.002,0.001,1.46,"sample_run_2019-03-13","3/13/2019","apimenta_105"
28,"0","AutoWash",NA,"AutoWash",0.001,0,-0.074,0.001,0,0.157,"sample_run_2019-03-13","3/13/2019","apimenta_105"
29,"SR:15","CC1","NO3 100 uM","Check Cal",0.233,0.232,103.061,0.002,0,0.472,"sample_run_2019-03-13","3/13/2019","apimenta_105"
30,"SR:16","CC2","PO4 6.25","Check Cal",0.019,0.018,7.783,0.008,0.006,6.602,"sample_run_2019-03-13","3/13/2019","apimenta_105"
31,"1:5","5","digested milliQ","Unknown",0.008,0.007,3.055,0.002,0,0.453,"sample_run_2019-03-13","3/13/2019","apimenta_105"
32,"1:6","6","Steve Shivers 2 check","Unknown",0.278,0.277,123.005,0.004,0.003,3.282,"sample_run_2019-03-13","3/13/2019","apimenta_105"
33,"1:7","7","Steve Shivers 2 check","Unknown",0.294,0.293,129.913,0.005,0.004,3.766,"sample_run_2019-03-13","3/13/2019","apimenta_105"
34,"1:8","8","Steve Shivers 2 check","Unknown",0.294,0.293,130.107,0.005,0.003,3.597,"sample_run_2019-03-13","3/13/2019","apimenta_105"
35,"1:9","9","20170607 Y1","Unknown",0.096,0.095,42.152,0.002,0.001,0.847,"sample_run_2019-03-13","3/13/2019","apimenta_105"
36,"1:10","10","20170607 Y2","Unknown",0.079,0.078,34.721,0.002,0.001,0.751,"sample_run_2019-03-13","3/13/2019","apimenta_105"
37,"1:10","10dup","20170607 Y2","Unknown",0.078,0.077,34.285,0.002,0.001,0.77,"sample_run_2019-03-13","3/13/2019","apimenta_105"
38,"1:11","11","20170607 Y3","Unknown",0.083,0.082,36.476,0.002,0.001,1.126,"sample_run_2019-03-13","3/13/2019","apimenta_105"
39,"1:12","12","20170607 W1","Unknown",0.091,0.09,39.898,0.002,0.001,1.29,"sample_run_2019-03-13","3/13/2019","apimenta_105"
40,"1:13","13","digested milliQ","Unknown",0.01,0.009,4.118,0.002,0,0.528,"sample_run_2019-03-13","3/13/2019","apimenta_105"
41,"0","AutoWash",NA,"AutoWash",0.001,0,0.056,0.001,0,0.133,"sample_run_2019-03-13","3/13/2019","apimenta_105"
42,"0","AutoWash",NA,"AutoWash",0.001,0,-0.074,0.001,0,0.157,"sample_run_2019-03-13","3/13/2019","apimenta_105"
43,"1:14","14","20170607 W2","Unknown",0.091,0.091,40.128,0.002,0.001,1.329,"sample_run_2019-03-13","3/13/2019","apimenta_105"
44,"1:15","15","20170607 W3","Unknown",0.097,0.096,42.48,0.003,0.001,1.578,"sample_run_2019-03-13","3/13/2019","apimenta_105"
45,"1:16","16","20170612 W1","Unknown",0.084,0.083,36.888,0.002,0.001,1.361,"sample_run_2019-03-13","3/13/2019","apimenta_105"
46,"1:17","17","20170612 W2","Unknown",0.082,0.081,36.101,0.002,0.001,1.422,"sample_run_2019-03-13","3/13/2019","apimenta_105"
47,"1:18","18","20170612 W3","Unknown",0.079,0.078,34.482,0.002,0.001,1.203,"sample_run_2019-03-13","3/13/2019","apimenta_105"
48,"SR:15","CC1","NO3 100 uM","Check Cal",0.232,0.231,102.469,0.002,0,0.586,"sample_run_2019-03-13","3/13/2019","apimenta_105"
49,"SR:16","CC2","PO4 6.25","Check Cal",0.019,0.018,7.819,0.008,0.007,6.856,"sample_run_2019-03-13","3/13/2019","apimenta_105"
50,"1:19","19","20170615 Y1","Unknown",0.083,0.082,36.461,0.002,0.001,1.143,"sample_run_2019-03-13","3/13/2019","apimenta_105"
51,"1:20","20","20170615 Y2","Unknown",0.125,0.124,55.017,0.004,0.002,2.631,"sample_run_2019-03-13","3/13/2019","apimenta_105"
52,"1:20","20dup","20170615 Y2","Unknown",0.127,0.126,55.894,0.004,0.002,2.608,"sample_run_2019-03-13","3/13/2019","apimenta_105"
53,"1:21","21","20170615 Y3","Unknown",0.08,0.079,35.077,0.002,0.001,1.047,"sample_run_2019-03-13","3/13/2019","apimenta_105"
54,"1:22","22","20170615 W1","Unknown",0.068,0.067,29.837,0.002,0.001,0.97,"sample_run_2019-03-13","3/13/2019","apimenta_105"
55,"0","AutoWash",NA,"AutoWash",0.003,0.002,0.74,0.001,0,0.181,"sample_run_2019-03-13","3/13/2019","apimenta_105"
56,"0","AutoWash",NA,"AutoWash",0.001,0,-0.074,0.001,0,0.157,"sample_run_2019-03-13","3/13/2019","apimenta_105"
57,"1:23","23","20170615 W2","Unknown",0.071,0.07,30.852,0.002,0.001,1.157,"sample_run_2019-03-13","3/13/2019","apimenta_105"
58,"1:24","24","20170615 W3","Unknown",0.069,0.069,30.351,0.002,0.001,0.976,"sample_run_2019-03-13","3/13/2019","apimenta_105"
59,"1:25","25","digested milliQ","Unknown",0.011,0.01,4.224,0.002,0.001,0.69,"sample_run_2019-03-13","3/13/2019","apimenta_105"
60,"1:26","26","20170623 Y1","Unknown",0.084,0.083,36.617,0.002,0.001,1.092,"sample_run_2019-03-13","3/13/2019","apimenta_105"
61,"1:27","27","20170623 Y2","Unknown",0.076,0.075,33.304,0.002,0.001,0.98,"sample_run_2019-03-13","3/13/2019","apimenta_105"
62,"1:28","28","20170623 Y3","Unknown",0.077,0.076,33.586,0.002,0.001,0.999,"sample_run_2019-03-13","3/13/2019","apimenta_105"
63,"1:29","29","20170623 W1","Unknown",0.067,0.066,29.336,0.002,0.001,1.153,"sample_run_2019-03-13","3/13/2019","apimenta_105"
64,"1:30","30","20170623 W2","Unknown",0.067,0.066,29.392,0.002,0.001,1.129,"sample_run_2019-03-13","3/13/2019","apimenta_105"
65,"1:30","30dup","20170623 W2","Unknown",0.067,0.066,29.4,0.003,0.001,1.241,"sample_run_2019-03-13","3/13/2019","apimenta_105"
66,"1:31","31","20170623 W3","Unknown",0.065,0.064,28.497,0.002,0.001,1.032,"sample_run_2019-03-13","3/13/2019","apimenta_105"
67,"0","AutoWash",NA,"AutoWash",0.002,0.001,0.548,0.002,0,0.231,"sample_run_2019-03-13","3/13/2019","apimenta_105"
68,"0","AutoWash",NA,"AutoWash",0.001,0,-0.074,0.002,0,0.157,"sample_run_2019-03-13","3/13/2019","apimenta_105"
69,"SR:15","CC1","NO3 100 uM","Check Cal",0.233,0.232,103.055,0.002,0,0.595,"sample_run_2019-03-13","3/13/2019","apimenta_105"
70,"SR:16","CC2","PO4 6.25","Check Cal",0.015,0.014,6.341,0.008,0.006,6.771,"sample_run_2019-03-13","3/13/2019","apimenta_105"
71,"1:32","32","20170626 Y1","Unknown",0.077,0.076,33.707,0.002,0.001,1.054,"sample_run_2019-03-13","3/13/2019","apimenta_105"
72,"1:33","33","20170626 Y2","Unknown",0.076,0.076,33.493,0.002,0.001,0.818,"sample_run_2019-03-13","3/13/2019","apimenta_105"
73,"1:34","34","20170626 Y3","Unknown",0.084,0.084,37.085,0.002,0.001,1.04,"sample_run_2019-03-13","3/13/2019","apimenta_105"
74,"1:35","35","20170626 W1","Unknown",0.07,0.069,30.692,0.003,0.001,1.164,"sample_run_2019-03-13","3/13/2019","apimenta_105"
75,"1:36","36","20170626 W2","Unknown",0.069,0.068,30.266,0.003,0.001,1.171,"sample_run_2019-03-13","3/13/2019","apimenta_105"
76,"1:37","37","digested milliQ","Unknown",0.009,0.008,3.664,0.002,0,0.629,"sample_run_2019-03-13","3/13/2019","apimenta_105"
77,"1:38","38","20170626 W3","Unknown",0.065,0.064,28.327,0.002,0.001,1.133,"sample_run_2019-03-13","3/13/2019","apimenta_105"
78,"1:39","39","20170705 Y1","Unknown",0.075,0.074,32.764,0.002,0.001,0.965,"sample_run_2019-03-13","3/13/2019","apimenta_105"
79,"1:40","40","20170705 Y2","Unknown",0.077,0.076,33.71,0.002,0.001,0.932,"sample_run_2019-03-13","3/13/2019","apimenta_105"
80,"1:40","40dup","20170705 Y2","Unknown",0.077,0.076,33.728,0.002,0.001,0.981,"sample_run_2019-03-13","3/13/2019","apimenta_105"
81,"0","AutoWash",NA,"AutoWash",0.002,0.001,0.582,0.002,0,0.157,"sample_run_2019-03-13","3/13/2019","apimenta_105"
82,"0","AutoWash",NA,"AutoWash",0.001,0,-0.074,0.002,0,0.157,"sample_run_2019-03-13","3/13/2019","apimenta_105"
83,"1:41","41","20170705 Y3","Unknown",0.075,0.074,32.785,0.002,0.001,0.88,"sample_run_2019-03-13","3/13/2019","apimenta_105"
84,"1:42","42","20170705 W1","Unknown",0.058,0.058,25.614,0.002,0.001,0.959,"sample_run_2019-03-13","3/13/2019","apimenta_105"
85,"1:43","43","20170705 W2","Unknown",0.062,0.062,27.374,0.003,0.001,1.23,"sample_run_2019-03-13","3/13/2019","apimenta_105"
86,"1:44","44","20170705 W3","Unknown",0.06,0.06,26.366,0.002,0.001,1.103,"sample_run_2019-03-13","3/13/2019","apimenta_105"
87,"1:45","45","20170710 Y1","Unknown",0.076,0.075,33.283,0.002,0.001,0.953,"sample_run_2019-03-13","3/13/2019","apimenta_105"
88,"SR:15","CC1","NO3 100 uM","Check Cal",0.232,0.231,102.531,0.002,0,0.59,"sample_run_2019-03-13","3/13/2019","apimenta_105"
89,"SR:16","CC2","PO4 6.25","Check Cal",0.012,0.011,4.797,0.008,0.007,7.048,"sample_run_2019-03-13","3/13/2019","apimenta_105"
90,"1:46","46","20170710 Y2","Unknown",0.074,0.074,32.718,0.002,0.001,0.964,"sample_run_2019-03-13","3/13/2019","apimenta_105"
91,"1:47","47","20170710 Y3","Unknown",0.085,0.084,37.218,0.002,0.001,0.923,"sample_run_2019-03-13","3/13/2019","apimenta_105"
92,"1:48","48","20170710 W1","Unknown",0.058,0.058,25.55,0.002,0.001,0.939,"sample_run_2019-03-13","3/13/2019","apimenta_105"
93,"1:49","49","digested milliQ","Unknown",0.009,0.008,3.612,0.002,0,0.51,"sample_run_2019-03-13","3/13/2019","apimenta_105"
94,"1:50","50","20170710 W2","Unknown",0.059,0.058,25.797,0.002,0.001,0.92,"sample_run_2019-03-13","3/13/2019","apimenta_105"
95,"0","AutoWash",NA,"AutoWash",0.002,0.001,0.385,0.002,0,0.161,"sample_run_2019-03-13","3/13/2019","apimenta_105"
96,"0","AutoWash",NA,"AutoWash",0.001,0,-0.074,0.002,0,0.157,"sample_run_2019-03-13","3/13/2019","apimenta_105"
97,"1:50","50dup","20170710 W2","Unknown",0.058,0.057,25.374,0.003,0.001,1.031,"sample_run_2019-03-13","3/13/2019","apimenta_105"
98,"1:51","51","20170710 W3","Unknown",0.065,0.064,28.383,0.003,0.001,1.419,"sample_run_2019-03-13","3/13/2019","apimenta_105"
99,"1:52","52","20170712 Y1","Unknown",0.092,0.092,40.577,0.003,0.001,1.162,"sample_run_2019-03-13","3/13/2019","apimenta_105"
100,"1:53","53","20170712 Y2","Unknown",0.091,0.09,39.91,0.003,0.001,1.51,"sample_run_2019-03-13","3/13/2019","apimenta_105"
101,"1:54","54","20170712 Y3","Unknown",0.081,0.081,35.789,0.003,0.001,1.078,"sample_run_2019-03-13","3/13/2019","apimenta_105"
102,"1:55","55","20170712 W1","Unknown",0.063,0.063,27.7,0.003,0.001,1.124,"sample_run_2019-03-13","3/13/2019","apimenta_105"
103,"1:56","56","20170712 W2","Unknown",0.063,0.063,27.833,0.003,0.001,1.131,"sample_run_2019-03-13","3/13/2019","apimenta_105"
104,"1:57","57","20170712 W3","Unknown",0.059,0.059,25.965,0.002,0.001,0.917,"sample_run_2019-03-13","3/13/2019","apimenta_105"
105,"1:58","58","20170717 Y1","Unknown",0.076,0.075,33.36,0.002,0.001,0.907,"sample_run_2019-03-13","3/13/2019","apimenta_105"
106,"1:59","59","20170717 Y2","Unknown",0.084,0.083,36.97,0.003,0.001,1.208,"sample_run_2019-03-13","3/13/2019","apimenta_105"
107,"0","AutoWash",NA,"AutoWash",0.003,0.003,1.217,0.002,0,0.143,"sample_run_2019-03-13","3/13/2019","apimenta_105"
108,"0","AutoWash",NA,"AutoWash",0,0,-0.074,0.002,0,0.157,"sample_run_2019-03-13","3/13/2019","apimenta_105"
109,"SR:15","CC1","NO3 100 uM","Check Cal",0.226,0.225,100.013,0.002,0.001,0.69,"sample_run_2019-03-13","3/13/2019","apimenta_105"
110,"SR:16","CC2","PO4 6.25","Check Cal",0.022,0.022,9.494,0.008,0.007,6.992,"sample_run_2019-03-13","3/13/2019","apimenta_105"
111,"1:60","60","20170717 Y3","Unknown",0.08,0.08,35.353,0.003,0.001,1.173,"sample_run_2019-03-13","3/13/2019","apimenta_105"
112,"1:60","60dup","20170717 Y3","Unknown",0.082,0.082,36.215,0.003,0.001,1.126,"sample_run_2019-03-13","3/13/2019","apimenta_105"
